sentence_id;sentence;dataset
0;In this paper we propose $\epsilon$-Consistent Mixup ($\epsilon$mu).;arxiv
1;$\epsilon$mu is a data-based structural regularization technique that combines Mixup's linear interpolation with consistency regularization in the Mixup direction, by compelling a simple adaptive tradeoff between the two.;arxiv
2;This learnable combination of consistency and interpolation induces a more flexible structure on the evolution of the response across the feature space and is shown to improve semi-supervised classification accuracy on the SVHN and CIFAR10 benchmark datasets, yielding the largest gains in the most challenging low label-availability scenarios.;arxiv
3;Empirical studies comparing $\epsilon$mu and Mixup are presented and provide insight into the mechanisms behind $\epsilon$mu's effectiveness.;arxiv
4;In particular, $\epsilon$mu is found to produce more accurate synthetic labels and more confident predictions than Mixup.;arxiv
5;Autoencoders have useful applications in high energy physics in anomaly detection, particularly for jets - collimated showers of particles produced in collisions such as those at the CERN Large Hadron Collider.;arxiv
6;"We explore the use of graph-based autoencoders, which operate on jets in their ""particle cloud"" representations and can leverage the interdependencies among the particles within a jet, for such tasks.";arxiv
7;Additionally, we develop a differentiable approximation to the energy mover's distance via a graph neural network, which may subsequently be used as a reconstruction loss function for autoencoders.;arxiv
8;Exciting contemporary machine learning problems have recently been phrased in the classic formalism of tree search -- most famously, the game of Go.;arxiv
9;Interestingly, the state-space underlying these sequential decision-making problems often posses a more general latent structure than can be captured by a tree.;arxiv
10;In this work, we develop a probabilistic framework to exploit a search space's latent structure and thereby share information across the search tree.;arxiv
11;We empirically find our algorithm to compare favorably to existing non-probabilistic alternatives in Tic-Tac-Toe and a feature selection application.;arxiv
12;Around the globe, ticks are the culprit of transmitting a variety of bacterial, viral and parasitic diseases.;arxiv
13;The incidence of tick-borne diseases has drastically increased within the last decade, with annual cases of Lyme disease soaring to an estimated 300,000 in the United States alone.;arxiv
14;As a result, more efforts in improving lesion identification approaches and diagnostics for tick-borne illnesses is critical.;arxiv
15;The objective for this study is to build upon the approach used by Burlina et al.;arxiv
16;by using a variety of convolutional neural network models to detect tick-borne skin lesions.;arxiv
17;We expanded the data inputs by acquiring images from Google in seven different languages to test if this would diversify training data and improve the accuracy of skin lesion detection.;arxiv
18;The final dataset included nearly 6,080 images and was trained on a combination of architectures (ResNet 34, ResNet 50, VGG 19, and Dense Net 121).;arxiv
19;We obtained an accuracy of 80.72% with our model trained on the DenseNet 121 architecture.;arxiv
20;Deep neural networks have gained tremendous importance in many computer vision tasks.;arxiv
21;However, their power comes at the cost of large amounts of annotated data required for supervised training.;arxiv
22;In this work we review and compare different techniques available in the literature to improve training results without acquiring additional annotated real-world data.;arxiv
23;This goal is mostly achieved by applying annotation-preserving transformations to existing data or by synthetically creating more data.;arxiv
24;Diagnosis and therapeutic effect assessment of Parkinson disease based on voice data are very important,but its few-shot learning problem is challenging.;arxiv
25;Although deep learning is good at automatic feature extraction, it suffers from few-shot learning problem.;arxiv
26;Therefore, the general effective method is first conduct feature extraction based on prior knowledge, and then carry out feature reduction for subsequent classification.;arxiv
27;To solve these two problems, based on the existing Parkinson speech feature data set, a deep double-side learning ensemble model is designed in this paper that can reconstruct speech features and samples deeply and simultaneously.;arxiv
28;As to feature reconstruction, an embedded deep stacked group sparse auto-encoder is designed in this paper to conduct nonlinear feature transformation, so as to acquire new high-level deep features, and then the deep features are fused with original speech features by L1 regularization feature selection method.;arxiv
