sentence_id;sentence;dataset
0;A person on a horse jumps over a broken down airplane.;snli
1;A person is training his horse for a competition.;snli
2;A person is at a diner, ordering an omelette.;snli
3;A boy is jumping on skateboard in the middle of a red bridge.;snli
4;An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.;snli
5;An older man drinks his juice as he waits for his daughter to get off work.;snli
6;An elderly man sits in a small shop.;snli
7;A few people in a restaurant setting, one of them is drinking orange juice.;snli
8;The people are sitting at desks in school.;snli
9;An older man is drinking orange juice at a restaurant.;snli
10;Two women are at a restaurant drinking wine.;snli
11;A man in a restaurant is waiting for his meal to arrive.;snli
12;A man with blond-hair, and a brown shirt drinking out of a public water fountain.;snli
13;A blond man getting a drink of water from a fountain in the park.;snli
14;A blond man wearing a brown shirt is reading a book on a bench in the park;snli
15;A blond man drinking water from a fountain.;snli
16;Two women who just had lunch hugging and saying goodbye.;snli
17;The friends scowl at each other over a full dinner table.;snli
18;The friends have just met for the first time in 20 years, and have had a great time catching up.;snli
19;The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.;snli
20;Two groups of rival gang members flipped each other off.;snli
21;A Little League team tries to catch a runner sliding into a base in an afternoon game.;snli
22;A team is trying to score the games winning out.;snli
23;A team is trying to tag a runner out.;snli
24;The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.;snli
25;High fashion ladies wait outside a tram beside a crowd of people in the city.;snli
26;The women do not care what clothes they wear.;snli
27;The women enjoy having a good fashion sense.;snli
28;A man, woman, and child enjoying themselves on a beach.;snli
29;A child with mom and dad, on summer vacation at the beach.;snli
30;A family of three is at the beach.;snli
31;A family of three is at the mall shopping.;snli
32;People waiting to get on a train or just getting off.;snli
33;The people waiting on the train are sitting.;snli
34;There are people just getting on a train;snli
35;A couple playing with a little boy on the beach.;snli
36;A couple are playing with a young child outside.;snli
37;A couple are playing frisbee with a young child at the beach.;snli
38;A couple watch a little girl play by herself on the beach.;snli
39;A couple play in the tide with their young son.;snli
40;A man and a woman cross the street in front of a pizza and gyro restaurant.;snli
41;The people are standing still on the curb.;snli
42;Near a couple of restaurants, two people walk across the street.;snli
43;The couple are walking across the street together.;snli
