TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.036545	0.071595	0.026329	0.006721	0.000564	0.000792	0.001405	0.000586	0.001169	0.000639	0.000880	0.000360	0.000961	0.007473	0.843981
I	0.024470	0.010357	0.638335	0.180560	0.011794	0.002713	0.003316	0.003515	0.001666	0.000711	0.000311	0.000680	0.000488	0.004752	0.116333
heard	0.008563	0.006449	0.048108	0.587635	0.175191	0.004406	0.015538	0.008082	0.017292	0.001851	0.000095	0.000530	0.003603	0.012946	0.109712
from	0.006318	0.001480	0.011915	0.011203	0.882697	0.012540	0.031369	0.004004	0.001267	0.001730	0.000021	0.000159	0.000178	0.001944	0.033178
none	0.040680	0.005199	0.005683	0.008899	0.015383	0.023668	0.170975	0.029148	0.136754	0.046213	0.001033	0.000618	0.005238	0.047177	0.463331
of	0.026038	0.004599	0.004416	0.011363	0.149408	0.009592	0.372166	0.080983	0.073432	0.115957	0.003989	0.002706	0.002966	0.051279	0.091106
the	0.040900	0.006912	0.008789	0.009085	0.025401	0.007270	0.026322	0.196571	0.395694	0.017457	0.007162	0.012168	0.017045	0.060351	0.168873
representatives	0.013614	0.001032	0.001701	0.013641	0.008934	0.001643	0.002778	0.004956	0.376541	0.012622	0.000251	0.001516	0.022315	0.053519	0.484937
from	0.034200	0.002306	0.000788	0.000328	0.023031	0.002659	0.012345	0.012212	0.022450	0.183417	0.012520	0.019038	0.059956	0.197317	0.417433
the	0.060873	0.007046	0.001067	0.000352	0.001120	0.000750	0.001303	0.014155	0.077453	0.034491	0.092349	0.157281	0.073032	0.287650	0.191076
power	0.016837	0.006551	0.002027	0.001284	0.000275	0.000914	0.000305	0.002825	0.050837	0.008988	0.048432	0.295291	0.197371	0.106459	0.261603
generation	0.016614	0.013083	0.001790	0.000748	0.000179	0.000289	0.000478	0.004144	0.015581	0.017076	0.052565	0.099466	0.305913	0.154729	0.317345
sector	0.011751	0.003185	0.002005	0.000277	0.000060	0.000141	0.000180	0.000566	0.002300	0.003814	0.001957	0.004579	0.009935	0.107187	0.852062
.	0.027762	0.058265	0.025367	0.006334	0.000693	0.000867	0.001088	0.000777	0.001331	0.001764	0.001618	0.001434	0.004064	0.063950	0.804686
[SEP]	0.009398	0.013216	0.003602	0.005357	0.002757	0.003057	0.003579	0.002297	0.005419	0.004997	0.002041	0.002221	0.008175	0.034576	0.899307
