TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.044167	0.015882	0.045681	0.003730	0.015231	0.002293	0.010676	0.035117	0.003321	0.005596	0.004765	0.005564	0.020872	0.155517	0.631587
I	0.000327	0.000274	0.990016	0.002942	0.000182	0.000154	0.000049	0.000782	0.000028	0.000002	0.000002	0.000045	0.000006	0.000170	0.005023
heard	0.000003	0.000016	0.000504	0.999094	0.000064	0.000038	0.000007	0.000041	0.000058	0.000000	0.000000	0.000003	0.000001	0.000023	0.000148
from	0.000979	0.002487	0.001552	0.004955	0.955657	0.000915	0.020681	0.000088	0.000034	0.001110	0.000004	0.000019	0.000000	0.000610	0.010909
none	0.000031	0.000009	0.000031	0.000058	0.000135	0.858733	0.138873	0.000563	0.000289	0.000310	0.000002	0.000000	0.000000	0.000011	0.000957
of	0.000004	0.000047	0.000014	0.000041	0.002559	0.004322	0.986784	0.000672	0.000039	0.005437	0.000009	0.000004	0.000000	0.000005	0.000063
the	0.000080	0.000111	0.001970	0.000095	0.002588	0.000220	0.001250	0.991425	0.000054	0.000012	0.001425	0.000049	0.000032	0.000027	0.000661
representatives	0.002097	0.000054	0.000341	0.017830	0.000434	0.000755	0.000448	0.003662	0.847281	0.001044	0.000028	0.000094	0.000068	0.004883	0.120981
from	0.001126	0.000209	0.000037	0.000010	0.005899	0.000335	0.037360	0.000591	0.002234	0.925237	0.002225	0.001005	0.000010	0.000879	0.022842
the	0.000137	0.000089	0.000011	0.000000	0.000123	0.000009	0.000143	0.003712	0.000072	0.004161	0.985562	0.004657	0.000110	0.000089	0.001124
power	0.000005	0.000001	0.000003	0.000000	0.000000	0.000000	0.000001	0.000013	0.000001	0.000018	0.003090	0.982889	0.013931	0.000015	0.000033
generation	0.000003	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000067	0.000001	0.000002	0.000203	0.007578	0.992051	0.000050	0.000045
sector	0.008132	0.000314	0.000004	0.000000	0.000013	0.000000	0.000001	0.000003	0.000029	0.000066	0.000003	0.000068	0.000527	0.385711	0.605129
.	0.002352	0.013066	0.000747	0.000020	0.000100	0.000010	0.000034	0.000035	0.000003	0.000030	0.000026	0.000096	0.000020	0.021396	0.962064
[SEP]	0.113132	0.030650	0.010662	0.002250	0.010346	0.002351	0.004997	0.005181	0.002284	0.007577	0.005995	0.013515	0.003881	0.060799	0.726380
