TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.000006	0.000004	0.000459	0.000493	0.000003	0.000004	0.000298	0.000019	0.000001	0.000001	0.000002	0.000272	0.000092	0.000008	0.000002	0.998334
None	0.018182	0.038211	0.097312	0.050780	0.074101	0.082302	0.084744	0.043179	0.037577	0.041302	0.041255	0.191264	0.094000	0.073686	0.007212	0.024892
of	0.011139	0.062561	0.026232	0.023847	0.023311	0.009784	0.041949	0.005252	0.014900	0.004151	0.010760	0.016555	0.008364	0.011832	0.723194	0.006169
the	0.039914	0.034569	0.022504	0.008465	0.016197	0.003625	0.019913	0.004596	0.017076	0.006305	0.014685	0.015706	0.010880	0.008622	0.769969	0.006973
original	0.069641	0.095706	0.041806	0.040270	0.064351	0.295930	0.031457	0.032652	0.022414	0.030369	0.033470	0.034391	0.047808	0.101049	0.028708	0.029978
buildings	0.166252	0.065524	0.027620	0.023878	0.092938	0.181807	0.013908	0.048742	0.072127	0.047068	0.072642	0.034792	0.025549	0.068131	0.037819	0.021201
in	0.013402	0.085738	0.068545	0.062515	0.055670	0.013634	0.056430	0.011104	0.030323	0.008928	0.014000	0.034202	0.019478	0.020378	0.498646	0.007008
En	0.057909	0.082442	0.025846	0.033783	0.073462	0.050412	0.025070	0.021790	0.128501	0.097682	0.214223	0.028481	0.037289	0.069379	0.039326	0.014405
##ga	0.063946	0.090668	0.011840	0.026655	0.049126	0.021186	0.022184	0.099998	0.049040	0.212756	0.214191	0.011742	0.031322	0.074544	0.017433	0.003369
##ku	0.018453	0.132623	0.011470	0.009546	0.049670	0.013181	0.020793	0.071041	0.074499	0.048101	0.397055	0.012672	0.033373	0.086453	0.005661	0.015410
##ji	0.022045	0.112492	0.007646	0.010210	0.038808	0.011006	0.012301	0.088856	0.129854	0.330727	0.152956	0.014758	0.017935	0.038768	0.005750	0.005888
are	0.057520	0.258055	0.060539	0.041984	0.098654	0.055317	0.076333	0.021285	0.033073	0.017051	0.029355	0.008492	0.024756	0.032622	0.177464	0.007502
still	0.039062	0.223453	0.043330	0.080779	0.125027	0.137248	0.062895	0.036421	0.016598	0.014638	0.023481	0.037731	0.017560	0.046577	0.085641	0.009559
remaining	0.020595	0.073681	0.050200	0.066249	0.105217	0.318528	0.047358	0.053494	0.024931	0.026778	0.038224	0.028250	0.060852	0.018976	0.039245	0.027422
.	0.015935	0.034755	0.017736	0.008344	0.017283	0.002157	0.010555	0.002213	0.013337	0.004403	0.010345	0.007984	0.004028	0.006514	0.842782	0.001629
[SEP]	0.142924	0.036002	0.085271	0.357674	0.013104	0.007112	0.094648	0.010521	0.010003	0.008050	0.007711	0.033619	0.037986	0.017418	0.079679	0.058277
