TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.599465	0.022526	0.042625	0.059982	0.014946	0.013634	0.025765	0.017060	0.013823	0.012581	0.021028	0.015772	0.009704	0.006645	0.051889	0.072555
None	0.610540	0.002741	0.316916	0.042612	0.005242	0.000038	0.004108	0.000154	0.000008	0.000135	0.000337	0.001225	0.000005	0.005357	0.006827	0.003753
of	0.239306	0.009657	0.014965	0.667255	0.013427	0.012923	0.005696	0.001163	0.000098	0.000004	0.000084	0.000098	0.000023	0.000020	0.000772	0.034510
the	0.267308	0.003317	0.018286	0.029968	0.637128	0.026747	0.008096	0.001093	0.003073	0.000378	0.000103	0.000271	0.000339	0.000494	0.000095	0.003304
original	0.667783	0.008978	0.020529	0.029697	0.004846	0.243478	0.020104	0.000023	0.000165	0.002535	0.000096	0.000016	0.000090	0.000118	0.000468	0.001072
buildings	0.974593	0.000059	0.004122	0.002885	0.000070	0.000245	0.016605	0.000457	0.000030	0.000074	0.000099	0.000017	0.000000	0.000004	0.000115	0.000625
in	0.715181	0.000054	0.009509	0.033191	0.003546	0.019595	0.078727	0.083369	0.007516	0.012351	0.024134	0.007849	0.000161	0.000023	0.001349	0.003446
En	0.242680	0.000029	0.000399	0.021434	0.000624	0.000963	0.021141	0.003214	0.680451	0.001616	0.003882	0.006714	0.000130	0.000004	0.001114	0.015603
##ga	0.066550	0.000006	0.000036	0.000015	0.000005	0.000219	0.000173	0.000038	0.000437	0.929412	0.002795	0.000068	0.000099	0.000018	0.000105	0.000023
##ku	0.508951	0.000050	0.000319	0.001009	0.000007	0.000007	0.005011	0.036031	0.003804	0.005084	0.417008	0.001368	0.000020	0.000026	0.017315	0.003989
##ji	0.404838	0.000056	0.000945	0.007280	0.000030	0.000002	0.000218	0.012220	0.002841	0.003379	0.000935	0.423057	0.000329	0.000061	0.017003	0.126808
are	0.320286	0.000038	0.000033	0.000082	0.000180	0.000158	0.000019	0.000044	0.000330	0.007478	0.001393	0.030678	0.567558	0.031016	0.010445	0.030258
still	0.029892	0.000050	0.000016	0.000003	0.000002	0.000033	0.000009	0.000000	0.000000	0.000365	0.000016	0.009853	0.001195	0.954848	0.001177	0.002539
remaining	0.564897	0.000044	0.003836	0.000519	0.000019	0.000124	0.000183	0.000002	0.000000	0.000049	0.000098	0.007613	0.001955	0.018777	0.308702	0.093180
.	0.261321	0.000052	0.000145	0.002326	0.000186	0.000005	0.000030	0.000038	0.000003	0.000002	0.000365	0.010645	0.001370	0.003231	0.017271	0.703010
[SEP]	0.888584	0.000073	0.000200	0.000633	0.001186	0.000034	0.000005	0.000012	0.000023	0.000017	0.000004	0.000416	0.001056	0.001707	0.004693	0.101358
