TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.045286	0.109208	0.182339	0.141920	0.074319	0.031268	0.025636	0.038111	0.024108	0.025320	0.005731	0.036435	0.076825	0.004483	0.018511	0.098188	0.062313
A	0.000173	0.293598	0.005772	0.022153	0.000359	0.001761	0.000266	0.000062	0.000327	0.001083	0.000085	0.000519	0.015541	0.000040	0.000012	0.022032	0.636217
boy	0.000006	0.000020	0.929462	0.000012	0.000036	0.000027	0.000056	0.000087	0.000006	0.000008	0.000005	0.000000	0.000004	0.000002	0.000003	0.000275	0.069990
is	0.000047	0.003036	0.000590	0.267889	0.001096	0.000667	0.000063	0.000026	0.000279	0.000521	0.000029	0.000112	0.000460	0.000014	0.000003	0.010227	0.714941
jumping	0.000015	0.000020	0.000063	0.000912	0.783071	0.001798	0.001012	0.002266	0.000363	0.000385	0.000517	0.000093	0.000067	0.000033	0.000383	0.002513	0.206490
on	0.000083	0.000623	0.000461	0.000961	0.010473	0.161160	0.052848	0.031234	0.000566	0.000577	0.000501	0.000457	0.001309	0.000861	0.005929	0.014033	0.717927
skate	0.000003	0.000001	0.000028	0.000003	0.000130	0.000293	0.814383	0.013472	0.000007	0.000004	0.000006	0.000004	0.000007	0.000095	0.000142	0.001892	0.169531
##board	0.000011	0.000009	0.000086	0.000020	0.002887	0.004260	0.075286	0.554136	0.000087	0.000062	0.000081	0.000020	0.000039	0.000075	0.003840	0.004847	0.354254
in	0.000511	0.000608	0.000546	0.005551	0.052002	0.005485	0.002007	0.003770	0.057208	0.008613	0.037194	0.003096	0.005504	0.002648	0.006953	0.030098	0.778205
the	0.000276	0.003025	0.001218	0.033230	0.071593	0.009978	0.005561	0.003386	0.010273	0.034321	0.018301	0.007812	0.014719	0.003028	0.003022	0.018612	0.761646
middle	0.000251	0.000063	0.000220	0.000180	0.012752	0.000372	0.000325	0.000861	0.004749	0.001368	0.377517	0.000748	0.000445	0.002289	0.004806	0.005179	0.587875
of	0.005302	0.002553	0.000657	0.009734	0.006764	0.005622	0.017653	0.002663	0.011997	0.009311	0.050157	0.149064	0.060188	0.008489	0.105970	0.018516	0.535358
a	0.000465	0.016967	0.001502	0.005992	0.001291	0.006868	0.003769	0.001267	0.001589	0.002925	0.002062	0.009268	0.090159	0.003831	0.007482	0.036757	0.807806
red	0.000066	0.000007	0.000027	0.000015	0.000031	0.000028	0.000474	0.000070	0.000018	0.000031	0.000157	0.000079	0.000152	0.731649	0.001482	0.001258	0.264456
bridge	0.000029	0.000001	0.000006	0.000002	0.000059	0.000073	0.000175	0.000779	0.000019	0.000007	0.000120	0.000025	0.000022	0.000537	0.757967	0.000935	0.239244
.	0.000103	0.000132	0.000014	0.000181	0.000026	0.000084	0.000047	0.000033	0.000166	0.000022	0.000028	0.000048	0.000191	0.000010	0.000020	0.087729	0.911165
[SEP]	0.003357	0.000952	0.000354	0.002252	0.001442	0.001188	0.001855	0.000987	0.000877	0.000305	0.001624	0.001023	0.001076	0.000899	0.001790	0.036151	0.943869
