TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.110742	0.126376	0.023485	0.094170	0.006608	0.004092	0.006058	0.001968	0.008645	0.010119	0.001808	0.004635	0.046611	0.009023	0.004057	0.161246	0.380357
A	0.167470	0.149897	0.026787	0.110676	0.006572	0.002372	0.008420	0.003072	0.006509	0.004689	0.005462	0.002677	0.027664	0.039503	0.006191	0.261067	0.170971
boy	0.057345	0.131257	0.060848	0.090560	0.008668	0.013247	0.017344	0.006573	0.014113	0.006564	0.011062	0.007440	0.026342	0.018919	0.007799	0.086437	0.435481
is	0.080938	0.225998	0.021110	0.224139	0.013353	0.002984	0.006821	0.002626	0.007998	0.006366	0.002646	0.003488	0.050592	0.030335	0.003663	0.155587	0.161355
jumping	0.070333	0.062039	0.031374	0.161919	0.015545	0.008866	0.027900	0.016271	0.031070	0.008721	0.018374	0.005346	0.023132	0.025593	0.006986	0.110175	0.376357
on	0.047911	0.055629	0.087512	0.119573	0.023174	0.012486	0.037580	0.032119	0.044285	0.024636	0.046252	0.013770	0.033446	0.046592	0.012077	0.070043	0.292914
skate	0.076799	0.024622	0.030414	0.040669	0.012587	0.012480	0.034663	0.015035	0.009899	0.004678	0.006374	0.005627	0.017945	0.019328	0.006335	0.082298	0.600247
##board	0.053187	0.033904	0.029822	0.073644	0.010872	0.008809	0.016772	0.008855	0.008066	0.004176	0.004867	0.003514	0.013462	0.009605	0.002314	0.073845	0.644286
in	0.055169	0.106506	0.024175	0.172504	0.020080	0.006785	0.014803	0.012491	0.023912	0.011354	0.013445	0.005646	0.034849	0.036435	0.007504	0.115162	0.339180
the	0.095987	0.221007	0.038870	0.305398	0.025416	0.005711	0.019111	0.008500	0.017374	0.009857	0.012362	0.003406	0.031008	0.045685	0.005261	0.071566	0.083481
middle	0.014576	0.025099	0.021325	0.040261	0.035304	0.013797	0.043932	0.032183	0.026329	0.006750	0.043245	0.012840	0.019793	0.037246	0.018519	0.041843	0.566958
of	0.066200	0.154492	0.056881	0.213782	0.032608	0.007601	0.054391	0.023008	0.021477	0.013800	0.032283	0.007055	0.050208	0.075351	0.026890	0.080382	0.083590
a	0.146242	0.163210	0.031532	0.260763	0.016324	0.003741	0.029746	0.007131	0.009116	0.006463	0.014690	0.004960	0.043678	0.083033	0.014100	0.084445	0.080826
red	0.014939	0.009885	0.012038	0.010975	0.004064	0.002470	0.022594	0.004059	0.003916	0.001114	0.011065	0.003305	0.011325	0.106151	0.017928	0.038466	0.725706
bridge	0.064718	0.008156	0.006964	0.009533	0.003978	0.006567	0.012476	0.006766	0.003895	0.001279	0.004877	0.006025	0.009955	0.030177	0.018733	0.027000	0.778901
.	0.025310	0.033332	0.010964	0.028115	0.002610	0.001888	0.002880	0.001184	0.004676	0.001592	0.001406	0.001106	0.010314	0.005035	0.002089	0.109472	0.758027
[SEP]	0.072270	0.009262	0.007349	0.005221	0.005046	0.014522	0.005481	0.005299	0.008914	0.004639	0.003087	0.004877	0.009398	0.004482	0.016979	0.043533	0.779643
