TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.072996	0.003783	0.001844	0.005774	0.002799	0.002426	0.002833	0.004203	0.018156	0.013836	0.003334	0.003691	0.001269	0.011315	0.002818	0.034779	0.024848	0.009848	0.003276	0.001999	0.010920	0.009256	0.006344	0.005093	0.015343	0.001768	0.005689	0.039646	0.019260	0.001336	0.012663	0.001489	0.011869	0.007657	0.002323	0.015519	0.010368	0.022464	0.004038	0.006600	0.018026	0.001385	0.004048	0.031200	0.003225	0.028623	0.012134	0.006269	0.002492	0.004941	0.046687	0.011066	0.053406	0.341026
Although	0.167299	0.014953	0.000085	0.000053	0.000090	0.000024	0.000005	0.000120	0.000109	0.000069	0.000019	0.000016	0.000061	0.000047	0.000058	0.001540	0.000227	0.006619	0.005401	0.001185	0.000357	0.001741	0.008765	0.002537	0.000155	0.000466	0.000885	0.000095	0.000053	0.001909	0.001062	0.000094	0.000128	0.000165	0.001305	0.027643	0.006827	0.001697	0.000724	0.000804	0.000877	0.000801	0.001068	0.000501	0.000883	0.000921	0.003397	0.001270	0.000902	0.000282	0.000277	0.000687	0.135313	0.597427
other	0.121316	0.000185	0.021755	0.000149	0.000151	0.000009	0.000001	0.000008	0.000011	0.000013	0.000126	0.000003	0.000107	0.000017	0.000205	0.000055	0.000056	0.003405	0.002521	0.000397	0.000410	0.000155	0.000419	0.000630	0.000049	0.000345	0.044373	0.000224	0.000034	0.000353	0.000053	0.000056	0.000401	0.000074	0.000160	0.008284	0.005448	0.000333	0.002710	0.001071	0.000022	0.000460	0.005144	0.000071	0.000355	0.000457	0.000136	0.000217	0.000409	0.000141	0.000049	0.000017	0.098369	0.678080
types	0.118332	0.000043	0.000102	0.191029	0.000111	0.000006	0.000001	0.000005	0.000009	0.000036	0.000173	0.000063	0.000065	0.000011	0.000123	0.000047	0.000005	0.001347	0.002457	0.000107	0.000013	0.000729	0.000177	0.000234	0.000014	0.000401	0.000109	0.000034	0.000012	0.001489	0.000138	0.000273	0.000046	0.000383	0.000198	0.004189	0.000080	0.000793	0.000654	0.000161	0.000042	0.001051	0.000546	0.000064	0.000429	0.000797	0.000470	0.000443	0.000428	0.000414	0.000015	0.000041	0.049486	0.621575
of	0.120608	0.000255	0.000138	0.000067	0.109841	0.000105	0.000003	0.000319	0.000078	0.000069	0.000880	0.000070	0.000163	0.000028	0.000689	0.000523	0.000122	0.007145	0.005741	0.000048	0.001044	0.002413	0.001676	0.002064	0.000491	0.000941	0.001107	0.000644	0.000228	0.001749	0.000115	0.000176	0.000070	0.000064	0.000124	0.003910	0.000743	0.000413	0.000074	0.000101	0.000013	0.000977	0.004990	0.000067	0.003859	0.004005	0.000303	0.001790	0.000169	0.000063	0.000073	0.000551	0.060366	0.657735
for	0.170747	0.000023	0.000040	0.000017	0.000164	0.400861	0.000005	0.000109	0.000089	0.000003	0.000137	0.000186	0.000231	0.000011	0.000415	0.000118	0.000248	0.001849	0.000522	0.000867	0.000065	0.007796	0.000036	0.000403	0.000150	0.000148	0.000153	0.000145	0.000195	0.000399	0.000457	0.000293	0.001675	0.000421	0.000060	0.001535	0.000025	0.000013	0.000159	0.000167	0.000010	0.000144	0.000446	0.000992	0.000169	0.000084	0.003470	0.000107	0.002687	0.000045	0.000276	0.000010	0.087087	0.313535
##feit	0.098770	0.000018	0.000001	0.000003	0.000024	0.000002	0.051156	0.000136	0.000103	0.000016	0.000002	0.000509	0.000008	0.000005	0.000011	0.000160	0.000182	0.000142	0.000006	0.000702	0.000017	0.013769	0.000083	0.000006	0.001442	0.000468	0.000009	0.000037	0.000018	0.000014	0.001398	0.000120	0.000016	0.000154	0.000056	0.000852	0.000016	0.000016	0.000045	0.000007	0.000019	0.000232	0.000127	0.000102	0.000011	0.000017	0.000098	0.000019	0.000070	0.000060	0.002112	0.000091	0.025962	0.800581
##ed	0.157381	0.000128	0.000013	0.000006	0.000400	0.000069	0.000071	0.228842	0.001098	0.000006	0.000035	0.007082	0.000073	0.000004	0.000129	0.000217	0.001118	0.001054	0.000209	0.000062	0.000057	0.080073	0.000124	0.000015	0.000692	0.003291	0.000288	0.000016	0.000053	0.000615	0.000940	0.000291	0.000146	0.000573	0.000092	0.000785	0.000089	0.000018	0.000039	0.000009	0.000026	0.000243	0.000662	0.000124	0.000043	0.000030	0.000300	0.000355	0.000056	0.000030	0.001031	0.003609	0.070883	0.436404
property	0.105484	0.000058	0.000004	0.000013	0.000065	0.000020	0.000055	0.000791	0.267459	0.000010	0.000024	0.002528	0.000010	0.000002	0.000011	0.000086	0.000645	0.003195	0.000131	0.000084	0.000052	0.038077	0.000384	0.000011	0.001143	0.001789	0.000233	0.000081	0.000576	0.000363	0.001050	0.000114	0.000343	0.002290	0.000206	0.006211	0.000097	0.000387	0.000100	0.000001	0.000036	0.000058	0.000122	0.000077	0.000037	0.000171	0.001518	0.000166	0.000036	0.000045	0.000189	0.000400	0.058660	0.504300
must	0.171118	0.000252	0.000008	0.000042	0.000043	0.000004	0.000003	0.000009	0.000013	0.033870	0.000068	0.000010	0.000055	0.000093	0.000372	0.000277	0.000127	0.000819	0.000457	0.000093	0.000044	0.000173	0.000253	0.000334	0.000024	0.000268	0.000014	0.000034	0.000013	0.001243	0.000079	0.000203	0.000037	0.000268	0.002508	0.004677	0.000834	0.000391	0.000157	0.000190	0.000425	0.000193	0.000261	0.000255	0.000422	0.000277	0.000986	0.000077	0.000596	0.000725	0.000036	0.000104	0.038167	0.737997
