TOKEN	[CLS]	Although	other	types	of	for	##feit	##ed	property	must	be	sold	in	order	to	recognize	revenue	,	or	construct	##ively	sold	(	if	transferred	to	another	Federal	agency	or	placed	into	internal	use	)	,	this	is	the	last	step	in	a	process	that	is	inherent	##ly	none	##x	##chang	##e	.	[SEP]
[CLS]	0.011324	0.004579	0.007306	0.005581	0.004417	0.010025	0.020402	0.010651	0.036520	0.026251	0.004848	0.025497	0.001133	0.000914	0.000688	0.006625	0.027458	0.012806	0.001424	0.001432	0.000835	0.007648	0.002289	0.001605	0.001552	0.000298	0.003794	0.017238	0.007240	0.000506	0.000610	0.000574	0.001733	0.008522	0.003299	0.010956	0.004716	0.029529	0.010398	0.066242	0.016075	0.002515	0.034479	0.014458	0.001889	0.013660	0.011480	0.003314	0.022308	0.007670	0.005760	0.015636	0.217146	0.234146
Although	0.025558	0.002009	0.000591	0.006471	0.003232	0.016194	0.072937	0.011691	0.031137	0.036284	0.003568	0.012709	0.002757	0.001502	0.004541	0.010761	0.059897	0.022104	0.003441	0.001666	0.001243	0.004189	0.004053	0.001860	0.003520	0.000711	0.000921	0.036832	0.017409	0.002305	0.001579	0.000741	0.002625	0.007378	0.010818	0.006458	0.004789	0.003060	0.001873	0.007583	0.011446	0.002324	0.009381	0.043052	0.001636	0.002607	0.011464	0.003646	0.009692	0.005243	0.004444	0.010064	0.197302	0.238703
other	0.022065	0.004626	0.001033	0.003364	0.004296	0.031014	0.084110	0.015317	0.018875	0.030461	0.004510	0.009486	0.002874	0.000701	0.001942	0.010838	0.054516	0.031467	0.002119	0.001117	0.001607	0.004711	0.002745	0.003214	0.003642	0.000718	0.001311	0.060448	0.008723	0.003555	0.001856	0.001236	0.002775	0.001823	0.003100	0.003614	0.001390	0.003088	0.001765	0.001825	0.005086	0.001216	0.006453	0.007913	0.001041	0.001776	0.007052	0.002888	0.003367	0.007134	0.001940	0.011627	0.206557	0.288070
types	0.031432	0.002564	0.001075	0.001589	0.003410	0.021301	0.020603	0.006405	0.010488	0.012461	0.001867	0.009159	0.003745	0.001227	0.001580	0.006834	0.031135	0.013421	0.001794	0.000438	0.000473	0.003062	0.001904	0.001189	0.002191	0.000792	0.001425	0.053265	0.008069	0.002449	0.000439	0.000812	0.005185	0.001026	0.002783	0.003638	0.002099	0.002489	0.001358	0.001775	0.003987	0.001644	0.013269	0.012377	0.001926	0.002178	0.013862	0.001873	0.001736	0.006659	0.001423	0.003995	0.273300	0.382820
of	0.042820	0.007089	0.002112	0.004260	0.012142	0.020167	0.044996	0.008532	0.017307	0.034989	0.003249	0.003912	0.008722	0.001033	0.005748	0.031256	0.105892	0.043132	0.002631	0.000956	0.002379	0.002519	0.004208	0.003177	0.001136	0.001281	0.003894	0.262083	0.023497	0.003649	0.000637	0.002648	0.003586	0.001092	0.003934	0.003151	0.002649	0.003670	0.001797	0.002316	0.005057	0.001718	0.012287	0.028839	0.003862	0.004951	0.009117	0.006992	0.003700	0.009658	0.003358	0.012800	0.073120	0.090293
for	0.055618	0.005960	0.002985	0.003229	0.005358	0.019159	0.034992	0.005857	0.029968	0.042299	0.001826	0.006535	0.002945	0.000993	0.002117	0.015218	0.032843	0.008833	0.002071	0.001005	0.000889	0.003374	0.005920	0.003302	0.001079	0.000236	0.001429	0.118305	0.010617	0.001750	0.000606	0.001015	0.003174	0.002334	0.004571	0.005367	0.002620	0.007031	0.002604	0.007589	0.006650	0.003721	0.021205	0.023362	0.002291	0.004800	0.016628	0.005398	0.007026	0.006447	0.004541	0.008201	0.187251	0.238853
##feit	0.028613	0.006954	0.002329	0.002174	0.002701	0.019931	0.039562	0.005269	0.010912	0.100442	0.009072	0.004085	0.007616	0.002452	0.003707	0.015061	0.006669	0.012141	0.003106	0.000865	0.001119	0.002113	0.003108	0.002922	0.000655	0.000250	0.002639	0.033577	0.006381	0.001655	0.000800	0.001846	0.004086	0.002272	0.005178	0.020672	0.018950	0.039614	0.016134	0.015750	0.007089	0.005895	0.037698	0.021964	0.005933	0.033837	0.023579	0.020301	0.014297	0.003560	0.011145	0.034942	0.141875	0.174502
##ed	0.047776	0.010734	0.002610	0.003345	0.005007	0.025149	0.053657	0.005531	0.014371	0.101267	0.005707	0.007328	0.008957	0.002176	0.006115	0.020456	0.019212	0.035667	0.003922	0.001304	0.001586	0.003319	0.005411	0.003071	0.000667	0.000502	0.002451	0.076871	0.006382	0.002507	0.000606	0.001266	0.002951	0.001521	0.010011	0.011425	0.004683	0.013029	0.005488	0.010225	0.008070	0.003961	0.029765	0.026351	0.004936	0.007339	0.016155	0.008942	0.009581	0.007246	0.013346	0.016080	0.136982	0.166983
property	0.034000	0.005949	0.002152	0.001832	0.002105	0.017389	0.037350	0.005014	0.017663	0.066740	0.007925	0.009341	0.006892	0.004432	0.004690	0.009695	0.016085	0.026580	0.004796	0.000837	0.001702	0.003638	0.003423	0.004051	0.001025	0.000516	0.003082	0.090354	0.007442	0.004244	0.001329	0.002491	0.003493	0.002829	0.005255	0.010750	0.011093	0.018777	0.012309	0.015884	0.008685	0.005689	0.018132	0.016374	0.002763	0.014214	0.037749	0.009713	0.014162	0.009983	0.005955	0.030671	0.151500	0.189255
must	0.013809	0.002456	0.001504	0.004869	0.007678	0.041990	0.192839	0.062429	0.028432	0.034970	0.005790	0.017449	0.003790	0.000426	0.002064	0.017304	0.056231	0.023911	0.004136	0.000883	0.001748	0.013814	0.001896	0.003045	0.003956	0.000467	0.000867	0.089689	0.032804	0.002868	0.001834	0.000732	0.007459	0.002852	0.012178	0.007078	0.004254	0.006729	0.002033	0.002834	0.014483	0.001903	0.019849	0.058003	0.001507	0.003834	0.006102	0.004046	0.001823	0.005132	0.001448	0.014617	0.064549	0.080605
