TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.553670	0.040001	0.012261	0.016531	0.012293	0.020874	0.028881	0.008237	0.017751	0.023647	0.019705	0.013218	0.014948	0.049205	0.168781
I	0.733048	0.015563	0.005094	0.010505	0.004120	0.003317	0.000509	0.000164	0.001031	0.001073	0.000296	0.000323	0.001532	0.023719	0.199706
heard	0.271284	0.551047	0.002464	0.025604	0.000351	0.005719	0.000420	0.000005	0.000346	0.000113	0.000017	0.000013	0.000055	0.029223	0.113339
from	0.088027	0.008837	0.810714	0.002316	0.005366	0.006180	0.001592	0.006410	0.000005	0.000072	0.000147	0.000262	0.000003	0.002314	0.067756
none	0.117782	0.000629	0.003910	0.805550	0.000010	0.003056	0.001147	0.000076	0.000309	0.000015	0.000042	0.000003	0.000014	0.000485	0.066971
of	0.018642	0.000154	0.001336	0.003061	0.955584	0.003376	0.002336	0.004835	0.000858	0.000323	0.000011	0.000057	0.000119	0.000314	0.008995
the	0.040274	0.001071	0.001403	0.001026	0.831669	0.085372	0.006002	0.008689	0.003947	0.001687	0.000162	0.000025	0.000235	0.001570	0.016869
representatives	0.415685	0.000641	0.002130	0.001637	0.000868	0.042078	0.300959	0.075589	0.009650	0.011236	0.005101	0.000190	0.000021	0.005279	0.128934
from	0.018738	0.000044	0.002019	0.000088	0.003003	0.007602	0.004110	0.929135	0.001398	0.003212	0.001319	0.009723	0.000028	0.000376	0.019204
the	0.327276	0.000864	0.000140	0.000243	0.247222	0.008255	0.004150	0.105831	0.181459	0.030956	0.003910	0.004196	0.012885	0.018462	0.054151
power	0.226687	0.000315	0.000131	0.000030	0.000029	0.005884	0.009172	0.015359	0.021720	0.514427	0.006459	0.009717	0.002926	0.030411	0.156734
generation	0.047352	0.000203	0.000082	0.000028	0.000001	0.000812	0.005327	0.001900	0.004145	0.079051	0.722402	0.015641	0.002131	0.020150	0.100776
sector	0.292143	0.001078	0.000024	0.000298	0.000028	0.000396	0.004682	0.001399	0.008263	0.061189	0.188901	0.009195	0.010498	0.031950	0.389955
.	0.329140	0.009821	0.001307	0.000934	0.002791	0.003109	0.001424	0.006939	0.018737	0.047165	0.007830	0.031510	0.293485	0.117524	0.128283
[SEP]	0.782153	0.015606	0.001970	0.003935	0.001866	0.009718	0.013675	0.002114	0.005936	0.012942	0.005617	0.001358	0.001419	0.049599	0.092091
