TOKEN	[CLS]	I	heard	from	none	of	the	representatives	from	the	power	generation	sector	.	[SEP]
[CLS]	0.009382	0.013347	0.014123	0.003489	0.001201	0.003311	0.001384	0.001953	0.001759	0.001598	0.002336	0.001677	0.002113	0.043412	0.898914
I	0.211374	0.089053	0.014300	0.014879	0.001178	0.001013	0.001519	0.002074	0.001733	0.001739	0.003289	0.004492	0.002703	0.087561	0.563093
heard	0.067278	0.409806	0.041618	0.067011	0.011631	0.001736	0.001286	0.002781	0.000530	0.000338	0.000990	0.002519	0.002606	0.096241	0.293629
from	0.027529	0.186818	0.615048	0.039153	0.011003	0.003900	0.001581	0.000782	0.000028	0.000083	0.000341	0.000554	0.000645	0.011932	0.100603
none	0.034791	0.064390	0.061666	0.392324	0.132298	0.007287	0.002536	0.003544	0.000217	0.000059	0.000295	0.000152	0.000602	0.007535	0.292302
of	0.008476	0.091589	0.048061	0.493647	0.058323	0.028383	0.019864	0.007262	0.001249	0.000445	0.000664	0.000687	0.000820	0.004051	0.236477
the	0.016036	0.032082	0.057889	0.295913	0.439875	0.048074	0.011252	0.020980	0.005172	0.000472	0.000359	0.000447	0.003801	0.002718	0.064931
representatives	0.003329	0.004261	0.045660	0.075415	0.301794	0.096339	0.055866	0.015857	0.020287	0.002887	0.001122	0.001173	0.001398	0.002403	0.372208
from	0.002586	0.004086	0.069861	0.020406	0.274349	0.099596	0.242935	0.117304	0.016594	0.015164	0.008759	0.005661	0.001569	0.001334	0.119796
the	0.003721	0.008243	0.015634	0.012316	0.242698	0.026586	0.038030	0.311478	0.150725	0.029367	0.024854	0.016165	0.018487	0.003792	0.097903
power	0.004237	0.002534	0.003764	0.000756	0.004207	0.009016	0.006059	0.056117	0.164933	0.055177	0.013573	0.008993	0.014334	0.018604	0.637696
generation	0.001730	0.001741	0.000691	0.000678	0.002123	0.004417	0.004447	0.020919	0.174167	0.154619	0.089063	0.010066	0.008189	0.010673	0.516477
sector	0.001269	0.000776	0.001343	0.001597	0.011996	0.005988	0.012817	0.017155	0.354080	0.447514	0.037920	0.021120	0.002463	0.004509	0.079451
.	0.018938	0.018879	0.025136	0.009759	0.027334	0.007366	0.008570	0.053249	0.107916	0.080866	0.063808	0.121749	0.110855	0.065492	0.280084
[SEP]	0.023022	0.007910	0.007660	0.006966	0.006882	0.011945	0.009877	0.005436	0.014298	0.017545	0.006146	0.005129	0.003119	0.064185	0.809880
