TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.654992	0.003080	0.015432	0.034895	0.004118	0.002689	0.006819	0.001951	0.016903	0.004170	0.002912	0.099955	0.152085
None	0.265586	0.042261	0.043500	0.202233	0.002691	0.020059	0.034226	0.004797	0.049089	0.000969	0.080235	0.069497	0.184857
of	0.607227	0.010084	0.015755	0.062456	0.005537	0.007609	0.023404	0.005712	0.025447	0.009148	0.007304	0.053017	0.167301
the	0.367990	0.008044	0.154318	0.042932	0.007802	0.013141	0.049147	0.007700	0.067704	0.010879	0.009472	0.055449	0.205420
kids	0.375384	0.033162	0.070132	0.059816	0.018528	0.027721	0.018754	0.044484	0.053574	0.086895	0.017988	0.051820	0.141741
will	0.332154	0.040586	0.024182	0.046175	0.026477	0.018095	0.055178	0.053804	0.035197	0.032392	0.106899	0.040881	0.187981
be	0.356214	0.018351	0.033127	0.052143	0.008901	0.139367	0.003788	0.040099	0.092062	0.016411	0.086868	0.063845	0.088824
going	0.519192	0.010584	0.087784	0.031471	0.009187	0.015541	0.013899	0.007086	0.068548	0.015541	0.011907	0.062133	0.147126
to	0.458145	0.010613	0.025620	0.055559	0.002419	0.007837	0.020553	0.007396	0.015178	0.008748	0.017086	0.058703	0.312143
college	0.718550	0.003257	0.044154	0.005537	0.023010	0.008908	0.009465	0.006539	0.034728	0.043435	0.002425	0.056805	0.043187
yet	0.113844	0.091830	0.064675	0.030828	0.013562	0.075524	0.180224	0.077754	0.093988	0.009183	0.028795	0.094263	0.125529
.	0.077531	0.004777	0.021063	0.125654	0.002423	0.009477	0.049147	0.002744	0.092280	0.001313	0.014033	0.420260	0.179299
[SEP]	0.422421	0.001451	0.026997	0.048099	0.000851	0.002842	0.004526	0.000719	0.055349	0.001344	0.001319	0.356261	0.077821
