TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.065339	0.012335	0.010536	0.023558	0.030607	0.026656	0.020739	0.009685	0.021628	0.023686	0.026879	0.029680	0.029626	0.019345	0.026476	0.042787	0.019697	0.040881	0.014152	0.019798	0.015718	0.019849	0.027722	0.010035	0.015454	0.013276	0.016230	0.014128	0.006658	0.020688	0.020587	0.008602	0.007291	0.006708	0.010231	0.011785	0.009047	0.007202	0.008341	0.005762	0.007007	0.008601	0.006083	0.007678	0.005297	0.006779	0.005761	0.007351	0.004532	0.005150	0.004842	0.004732	0.004129	0.003360	0.006821	0.006761	0.004425	0.006704	0.006839	0.009430	0.004865	0.009183	0.007209	0.003762	0.012996	0.013189	0.008177	0.005772	0.014976	0.005538	0.012564	0.010085
EPA	0.014223	0.009720	0.019262	0.026716	0.030961	0.010903	0.048390	0.011651	0.020097	0.039125	0.019746	0.065162	0.025071	0.010042	0.006335	0.053387	0.006650	0.027199	0.009731	0.034765	0.006874	0.006598	0.031177	0.005276	0.017774	0.007718	0.004980	0.024379	0.009292	0.005546	0.007391	0.003824	0.013053	0.005911	0.008974	0.003987	0.020520	0.014427	0.013278	0.007362	0.014706	0.017349	0.012026	0.003187	0.006994	0.006311	0.004291	0.002929	0.016992	0.005227	0.012747	0.009540	0.006301	0.007863	0.003728	0.016083	0.015318	0.003192	0.009588	0.015506	0.004669	0.026001	0.014160	0.006170	0.003942	0.005603	0.004476	0.008651	0.011018	0.008073	0.007456	0.002430
has	0.003250	0.016332	0.033019	0.014720	0.006187	0.012236	0.012338	0.013047	0.025742	0.026632	0.025947	0.013138	0.014905	0.025339	0.011242	0.011482	0.012385	0.022293	0.012668	0.010221	0.016314	0.019708	0.019125	0.017489	0.013938	0.007767	0.014020	0.008150	0.015483	0.021394	0.020305	0.015488	0.009465	0.017931	0.012424	0.014611	0.005095	0.011407	0.021596	0.007203	0.012617	0.012274	0.017745	0.010007	0.012566	0.004998	0.005559	0.010604	0.014258	0.011047	0.024476	0.008348	0.006599	0.010145	0.013630	0.006340	0.018148	0.010721	0.011241	0.013991	0.010071	0.017710	0.005312	0.012695	0.020979	0.019157	0.009950	0.016404	0.006371	0.010088	0.016118	0.007796
determined	0.003403	0.018200	0.029980	0.015966	0.034019	0.022165	0.015242	0.017868	0.039187	0.040610	0.029957	0.026671	0.016725	0.015733	0.023528	0.030167	0.018051	0.025817	0.017118	0.015169	0.018056	0.015151	0.012309	0.010576	0.013048	0.012978	0.011401	0.011904	0.009678	0.010446	0.014406	0.009340	0.016662	0.005116	0.008428	0.010442	0.009200	0.013327	0.013686	0.010138	0.020376	0.019151	0.008006	0.007522	0.007959	0.005394	0.007834	0.007006	0.018760	0.007980	0.018256	0.006586	0.007053	0.008750	0.008004	0.007833	0.011279	0.006302	0.014387	0.010391	0.004936	0.017489	0.005977	0.006254	0.007631	0.009815	0.004934	0.005121	0.006103	0.006296	0.019692	0.005057
that	0.001303	0.018018	0.015899	0.011966	0.026524	0.014782	0.015733	0.020530	0.014294	0.023881	0.013628	0.008802	0.012769	0.011309	0.018029	0.031738	0.026890	0.024666	0.019915	0.016412	0.036374	0.019065	0.019554	0.030019	0.026605	0.019927	0.011469	0.010385	0.018161	0.012707	0.007650	0.010473	0.008393	0.012256	0.022111	0.012536	0.008276	0.013852	0.011832	0.021765	0.008311	0.007926	0.016174	0.006828	0.009710	0.005831	0.010739	0.006430	0.013412	0.010764	0.010932	0.007196	0.016994	0.007637	0.008705	0.010589	0.013905	0.006203	0.010980	0.005948	0.011689	0.005091	0.004970	0.011472	0.009980	0.006138	0.005232	0.014414	0.006804	0.007356	0.034344	0.006793
the	0.001801	0.013991	0.008320	0.008860	0.026802	0.020256	0.009696	0.013938	0.014647	0.023982	0.015256	0.020462	0.014285	0.010795	0.012351	0.034895	0.024010	0.026747	0.026079	0.014265	0.031923	0.032020	0.019908	0.021216	0.022703	0.015504	0.021214	0.015549	0.012112	0.009970	0.009748	0.007908	0.010361	0.008006	0.017435	0.019692	0.008966	0.011692	0.012394	0.017165	0.012148	0.008430	0.011377	0.012870	0.010781	0.005446	0.008281	0.012342	0.010343	0.007614	0.012827	0.008794	0.014044	0.008539	0.016774	0.009548	0.013840	0.013153	0.013847	0.009683	0.011249	0.008340	0.008314	0.007979	0.007814	0.007928	0.004429	0.010141	0.009679	0.007821	0.022652	0.006050
impacts	0.010893	0.041736	0.011794	0.032865	0.014089	0.013839	0.007172	0.007750	0.008567	0.041721	0.024248	0.025521	0.011858	0.014004	0.007544	0.018002	0.005863	0.011454	0.006517	0.015620	0.005325	0.010294	0.006675	0.005337	0.004678	0.003760	0.008346	0.004173	0.008371	0.012407	0.013589	0.017212	0.025544	0.007546	0.004978	0.008530	0.018544	0.014069	0.024754	0.003105	0.016964	0.041361	0.004948	0.008027	0.008974	0.006283	0.004012	0.008622	0.032376	0.007089	0.045658	0.005222	0.003046	0.010843	0.008999	0.008750	0.006442	0.008320	0.014014	0.039085	0.004889	0.074501	0.004116	0.008539	0.012536	0.015545	0.016028	0.006288	0.008573	0.007238	0.011389	0.003032
would	0.003743	0.014675	0.025281	0.024872	0.012360	0.011095	0.022792	0.023094	0.016657	0.040680	0.028238	0.022481	0.018512	0.012344	0.023552	0.032599	0.030130	0.030337	0.021865	0.017130	0.027141	0.014660	0.029287	0.017234	0.020012	0.012176	0.010548	0.011981	0.020460	0.017355	0.019867	0.009618	0.014878	0.011777	0.009744	0.007356	0.006773	0.009382	0.007284	0.008638	0.008231	0.010044	0.013776	0.006057	0.010251	0.008878	0.005921	0.005380	0.011495	0.007853	0.006579	0.004868	0.007529	0.004124	0.005670	0.009656	0.011201	0.005898	0.008414	0.009002	0.008997	0.010802	0.006663	0.012066	0.012663	0.016665	0.004342	0.008342	0.005559	0.011018	0.020018	0.003431
be	0.003296	0.009364	0.009286	0.015441	0.010113	0.007853	0.021379	0.023499	0.012485	0.048159	0.025140	0.013510	0.018978	0.021992	0.020247	0.029037	0.024393	0.018601	0.017419	0.013942	0.023360	0.011333	0.037834	0.017491	0.016111	0.014051	0.009886	0.016897	0.027939	0.012931	0.019336	0.013913	0.021264	0.015628	0.010009	0.006581	0.014997	0.018728	0.012536	0.011006	0.011653	0.011324	0.014147	0.005727	0.013654	0.008973	0.007317	0.004818	0.012269	0.009202	0.010539	0.004704	0.008059	0.005849	0.005012	0.013670	0.009627	0.005185	0.010227	0.008545	0.009979	0.011339	0.009152	0.015378	0.008481	0.013079	0.006017	0.010992	0.006904	0.014841	0.011577	0.005796
minimal	0.015190	0.057842	0.008368	0.019477	0.012487	0.008694	0.025815	0.011059	0.008741	0.029132	0.015928	0.017468	0.016985	0.012886	0.008056	0.019857	0.003927	0.016327	0.008930	0.018666	0.004347	0.005834	0.012381	0.003520	0.004647	0.003365	0.004187	0.006260	0.010044	0.005847	0.019682	0.016593	0.033427	0.003264	0.004572	0.004079	0.026797	0.024877	0.011499	0.004407	0.012798	0.083930	0.006559	0.003219	0.005101	0.004741	0.002420	0.003462	0.033237	0.009336	0.032888	0.003853	0.004392	0.008423	0.004500	0.008924	0.011271	0.003797	0.010433	0.053505	0.003262	0.044064	0.005163	0.009896	0.006090	0.021911	0.016462	0.006619	0.007433	0.019504	0.004838	0.002509
or	0.002461	0.012949	0.008690	0.020397	0.023937	0.013050	0.033121	0.026979	0.016961	0.047973	0.026778	0.022831	0.023601	0.013373	0.030247	0.050072	0.038506	0.017882	0.020819	0.020276	0.032633	0.014972	0.035516	0.024432	0.011520	0.014908	0.011946	0.015373	0.020916	0.011035	0.016017	0.007180	0.012810	0.010519	0.005433	0.006971	0.008834	0.008618	0.006273	0.007420	0.013424	0.009759	0.005525	0.005595	0.007986	0.010909	0.005649	0.004714	0.009327	0.005741	0.009079	0.004700	0.005152	0.004244	0.004815	0.013217	0.004567	0.004932	0.011747	0.008763	0.004765	0.007160	0.007036	0.010695	0.006866	0.010539	0.005126	0.003990	0.006842	0.007693	0.021575	0.003638
none	0.006897	0.017576	0.027116	0.030987	0.013877	0.015768	0.020349	0.044768	0.021614	0.031164	0.025740	0.014787	0.021805	0.020859	0.042215	0.028485	0.016945	0.016425	0.017461	0.021926	0.015099	0.017942	0.063313	0.014282	0.005735	0.008088	0.014573	0.019620	0.025417	0.016251	0.013922	0.008754	0.011940	0.018088	0.008498	0.008394	0.005692	0.006249	0.010206	0.005118	0.005650	0.004952	0.007115	0.005045	0.007566	0.008515	0.003127	0.005253	0.006868	0.014292	0.012162	0.002903	0.003796	0.005172	0.005162	0.009705	0.003311	0.005535	0.009644	0.002542	0.004334	0.006831	0.010002	0.015438	0.011659	0.009697	0.006838	0.008198	0.007590	0.013603	0.015977	0.007573
##xi	0.013183	0.012071	0.016590	0.018601	0.006193	0.009835	0.019743	0.010811	0.015959	0.026101	0.041717	0.026023	0.015203	0.027639	0.044438	0.030762	0.030665	0.017014	0.006125	0.029932	0.020868	0.010001	0.027550	0.021432	0.005870	0.006580	0.009623	0.011743	0.035662	0.022914	0.015134	0.006779	0.020247	0.011142	0.004150	0.006118	0.006390	0.006620	0.009313	0.002350	0.015245	0.015216	0.006576	0.005326	0.008087	0.015499	0.003721	0.005500	0.007409	0.004470	0.007599	0.002107	0.002054	0.009001	0.003957	0.007750	0.003310	0.004915	0.008738	0.014044	0.004411	0.029766	0.008189	0.024413	0.018126	0.012343	0.012956	0.005482	0.012170	0.021274	0.013653	0.007602
##sten	0.037238	0.022443	0.004806	0.024199	0.010579	0.006275	0.010526	0.002496	0.005466	0.028679	0.010570	0.018697	0.021305	0.017155	0.008451	0.028275	0.003411	0.043648	0.005686	0.013149	0.003105	0.005364	0.030386	0.001690	0.010456	0.002907	0.004721	0.009951	0.016593	0.020160	0.053685	0.011588	0.008689	0.003796	0.011230	0.004007	0.006799	0.006580	0.013974	0.003483	0.005036	0.013223	0.013721	0.003177	0.017190	0.003518	0.002364	0.003823	0.017668	0.002823	0.008145	0.003375	0.003622	0.004452	0.003963	0.011765	0.018776	0.003993	0.007379	0.023916	0.007134	0.026940	0.009823	0.019912	0.023183	0.068226	0.025495	0.020210	0.013399	0.050222	0.002442	0.008868
##t	0.009575	0.007753	0.013428	0.023448	0.016126	0.018351	0.009491	0.013654	0.017757	0.010558	0.014839	0.013819	0.029405	0.021723	0.049624	0.026318	0.020860	0.016405	0.011892	0.013611	0.019650	0.019501	0.012999	0.024639	0.016543	0.011159	0.016039	0.016060	0.028198	0.026338	0.019829	0.014993	0.002738	0.014104	0.013798	0.014278	0.002477	0.003138	0.014219	0.008129	0.004560	0.004371	0.008669	0.011451	0.009138	0.004515	0.008738	0.012039	0.005720	0.007197	0.005941	0.007227	0.006922	0.005293	0.013089	0.008623	0.011390	0.011009	0.009111	0.005409	0.009011	0.003335	0.013005	0.028139	0.028112	0.019485	0.008264	0.006375	0.011045	0.013187	0.023793	0.018373
because	0.001298	0.013506	0.010555	0.012052	0.007337	0.004034	0.028550	0.020048	0.006856	0.036415	0.028293	0.009635	0.014852	0.018551	0.017542	0.046225	0.045387	0.040814	0.012024	0.021479	0.037261	0.007097	0.032042	0.019317	0.018844	0.021015	0.005844	0.008701	0.036228	0.013977	0.014605	0.009481	0.017182	0.012247	0.014429	0.003447	0.009632	0.009893	0.012636	0.007323	0.007183	0.006253	0.023322	0.002510	0.011542	0.010536	0.008867	0.002400	0.014085	0.004424	0.015630	0.002092	0.005944	0.007033	0.001948	0.012156	0.011982	0.002243	0.008209	0.007517	0.012935	0.012458	0.004116	0.016985	0.008998	0.010064	0.008847	0.014684	0.006191	0.013741	0.012517	0.005934
,	0.001566	0.011311	0.013415	0.009366	0.011067	0.008983	0.010174	0.014287	0.008538	0.019704	0.016298	0.009583	0.018850	0.013998	0.015394	0.037943	0.034408	0.026388	0.017527	0.014340	0.036059	0.021860	0.022927	0.034047	0.029045	0.014304	0.017774	0.016551	0.024966	0.015072	0.017455	0.010713	0.011702	0.018377	0.023575	0.013868	0.009056	0.013448	0.015547	0.012954	0.009547	0.006918	0.014818	0.008095	0.015895	0.004830	0.006675	0.008155	0.010304	0.008331	0.011046	0.006741	0.009890	0.006267	0.007442	0.010098	0.011063	0.006867	0.010792	0.007989	0.012196	0.007359	0.007813	0.013117	0.010107	0.011649	0.005960	0.012825	0.008190	0.009192	0.020131	0.007258
among	0.009915	0.016814	0.015985	0.031641	0.021543	0.023375	0.017183	0.006262	0.019860	0.034539	0.011116	0.011519	0.020317	0.014614	0.015609	0.023037	0.020856	0.022035	0.016121	0.008327	0.020676	0.029150	0.035944	0.018901	0.012591	0.009778	0.019195	0.010915	0.011513	0.020523	0.023237	0.015463	0.009222	0.011554	0.011105	0.017037	0.005275	0.007279	0.011605	0.006301	0.005373	0.006514	0.004601	0.009736	0.011022	0.005532	0.005100	0.010902	0.011001	0.004460	0.013972	0.006959	0.006188	0.003717	0.012095	0.016046	0.006781	0.011819	0.012517	0.007587	0.009293	0.007590	0.008159	0.009665	0.021299	0.025486	0.010735	0.009313	0.010439	0.014550	0.023173	0.010445
other	0.003701	0.023466	0.006060	0.016666	0.045056	0.032142	0.012187	0.007962	0.012493	0.024945	0.009261	0.024006	0.014662	0.011485	0.010582	0.034577	0.016841	0.036781	0.042925	0.012269	0.022877	0.053137	0.042783	0.015836	0.015613	0.009913	0.030414	0.018505	0.008647	0.006942	0.011912	0.006280	0.004563	0.009341	0.013093	0.025739	0.005264	0.004667	0.006893	0.010041	0.009522	0.003765	0.004032	0.011325	0.015025	0.003741	0.003562	0.012691	0.004137	0.005352	0.006355	0.011112	0.008624	0.002681	0.018578	0.011066	0.007877	0.014284	0.014710	0.007466	0.005720	0.003958	0.009137	0.005984	0.005623	0.010482	0.005191	0.005614	0.012765	0.007350	0.022188	0.009556
reasons	0.006631	0.029572	0.015313	0.016702	0.014833	0.007350	0.007602	0.009901	0.010381	0.027670	0.024518	0.005065	0.013434	0.018936	0.021905	0.027122	0.019579	0.051861	0.009795	0.005712	0.017314	0.006850	0.016008	0.006612	0.014642	0.017680	0.005806	0.007239	0.016123	0.028689	0.027022	0.025358	0.016302	0.004707	0.029244	0.005185	0.006519	0.019828	0.017275	0.012332	0.005039	0.010951	0.036557	0.003386	0.008602	0.005456	0.011058	0.003443	0.019193	0.004849	0.025337	0.001470	0.009425	0.006508	0.002661	0.008009	0.016440	0.002880	0.005434	0.010573	0.015240	0.005681	0.003886	0.009088	0.020651	0.018941	0.023210	0.025003	0.004713	0.016022	0.008069	0.007607
,	0.001362	0.010429	0.011955	0.008369	0.008788	0.007585	0.008298	0.015244	0.007819	0.018843	0.017267	0.008218	0.015518	0.012608	0.013234	0.030384	0.031559	0.025813	0.015516	0.012229	0.036330	0.020805	0.019393	0.037172	0.032667	0.015833	0.018499	0.017212	0.025553	0.016529	0.016846	0.009284	0.011541	0.021385	0.026741	0.013952	0.009789	0.014731	0.018427	0.015006	0.011471	0.007718	0.018270	0.008304	0.017748	0.004696	0.006825	0.007518	0.008806	0.008035	0.011491	0.006182	0.010076	0.007281	0.007438	0.010271	0.012096	0.006914	0.010354	0.007738	0.012954	0.006626	0.007317	0.012055	0.010337	0.010383	0.006377	0.014326	0.009108	0.008589	0.022083	0.011878
