TOKEN	[CLS]	EPA	has	determined	that	the	impacts	would	be	minimal	or	none	##xi	##sten	##t	because	,	among	other	reasons	,	the	phase	-	in	of	the	re	##man	##uf	##act	##uring	requirements	combined	with	the	compliance	flexibility	given	to	small	businesses	during	the	initial	years	of	the	program	will	allow	them	to	make	the	transition	into	the	new	marketplace	for	certified	re	##man	##uf	##act	##ures	without	hard	##ship	.	[SEP]
[CLS]	0.051637	0.002689	0.002768	0.002244	0.046206	0.082189	0.002321	0.003977	0.006465	0.003280	0.004129	0.002479	0.003464	0.002627	0.005040	0.008453	0.020284	0.006072	0.008267	0.003883	0.021793	0.057842	0.002122	0.014944	0.033908	0.010238	0.052445	0.003984	0.003239	0.000909	0.003631	0.002253	0.002147	0.000788	0.018596	0.059238	0.002321	0.002447	0.003266	0.040697	0.001932	0.002437	0.004044	0.044080	0.001150	0.003365	0.007863	0.052217	0.004969	0.002357	0.003362	0.004215	0.044723	0.005162	0.059961	0.000522	0.025296	0.056365	0.002779	0.002952	0.023435	0.001654	0.004022	0.003200	0.000938	0.003416	0.004701	0.004246	0.002119	0.003408	0.007933	0.005893
EPA	0.012417	0.013804	0.016038	0.025699	0.022423	0.039885	0.055835	0.019441	0.032812	0.035304	0.027398	0.028224	0.046223	0.028515	0.035956	0.027365	0.012833	0.014776	0.014497	0.035226	0.008269	0.014478	0.044149	0.007427	0.004699	0.007650	0.011373	0.004068	0.019644	0.040793	0.018871	0.014747	0.011637	0.006260	0.007406	0.008291	0.008248	0.006075	0.004934	0.003528	0.006787	0.005073	0.005764	0.004886	0.005366	0.008663	0.003648	0.004728	0.005313	0.002051	0.002768	0.004615	0.002693	0.003821	0.003670	0.003500	0.002876	0.003902	0.002094	0.012266	0.000960	0.004405	0.002134	0.012296	0.024585	0.015266	0.009137	0.006444	0.009029	0.016617	0.002879	0.004546
has	0.002175	0.027492	0.011586	0.055411	0.007678	0.010046	0.053478	0.093146	0.014905	0.082015	0.151330	0.042315	0.009893	0.016963	0.012188	0.032222	0.003024	0.022225	0.016180	0.038731	0.002368	0.003219	0.019919	0.001865	0.001247	0.001782	0.002235	0.002075	0.006788	0.012577	0.003899	0.015364	0.010859	0.010870	0.001974	0.001800	0.007499	0.022653	0.009016	0.001192	0.010484	0.008786	0.004284	0.001186	0.011684	0.008533	0.000815	0.001089	0.004957	0.016988	0.008469	0.004056	0.000871	0.002745	0.001079	0.006291	0.000804	0.000998	0.003663	0.004749	0.001181	0.009314	0.001204	0.004395	0.009781	0.003183	0.004076	0.006367	0.005566	0.002886	0.001549	0.005761
determined	0.001243	0.031614	0.011208	0.016224	0.006047	0.008629	0.093332	0.018614	0.032439	0.102576	0.028684	0.049859	0.044097	0.035999	0.010616	0.020353	0.001977	0.052214	0.024994	0.054038	0.001344	0.002692	0.046830	0.003232	0.001487	0.001569	0.001888	0.002555	0.004208	0.012415	0.013780	0.012109	0.014836	0.011485	0.001938	0.001424	0.018199	0.023963	0.010975	0.001223	0.014636	0.006908	0.005470	0.001024	0.008548	0.015995	0.000771	0.000909	0.002813	0.003290	0.007399	0.004364	0.000892	0.004912	0.000940	0.013208	0.002264	0.000844	0.005563	0.012018	0.000542	0.009021	0.001339	0.002345	0.008600	0.009628	0.005941	0.006544	0.003793	0.003434	0.000944	0.002193
that	0.000754	0.018060	0.033359	0.075245	0.006548	0.017000	0.068156	0.095714	0.033750	0.066269	0.114376	0.062700	0.015997	0.016960	0.014681	0.038327	0.004166	0.035090	0.021045	0.024868	0.002876	0.005150	0.016294	0.003026	0.001925	0.002514	0.003148	0.002211	0.004280	0.008048	0.004940	0.013649	0.007996	0.012528	0.003059	0.002522	0.004096	0.005493	0.011322	0.001289	0.012896	0.003644	0.004675	0.001803	0.010798	0.007795	0.001201	0.001556	0.001989	0.007628	0.009633	0.003831	0.000840	0.004490	0.001273	0.004684	0.001595	0.001120	0.002853	0.002615	0.001081	0.003970	0.000858	0.001871	0.004671	0.002898	0.003127	0.003812	0.003790	0.002213	0.001984	0.003374
the	0.000877	0.040366	0.026324	0.051347	0.037680	0.021141	0.058802	0.046811	0.034477	0.037753	0.074596	0.057864	0.020194	0.017145	0.050864	0.012503	0.007345	0.034401	0.031707	0.013034	0.004546	0.005790	0.011846	0.003171	0.005291	0.040608	0.003905	0.003565	0.006316	0.027995	0.003853	0.010771	0.005225	0.009229	0.006755	0.003567	0.005754	0.008926	0.008426	0.005254	0.011328	0.004890	0.006262	0.002284	0.008618	0.005233	0.018868	0.001924	0.003428	0.003482	0.005254	0.004444	0.002715	0.001262	0.001416	0.004422	0.002552	0.001340	0.003568	0.001740	0.001836	0.004753	0.001313	0.002388	0.014199	0.001712	0.003623	0.005501	0.002212	0.003273	0.001630	0.006509
impacts	0.005933	0.094961	0.006237	0.033253	0.017031	0.023994	0.035329	0.011786	0.016342	0.065741	0.019486	0.011385	0.059735	0.097451	0.019494	0.015827	0.006469	0.021892	0.011389	0.011428	0.005430	0.005690	0.022173	0.003702	0.006639	0.005634	0.004167	0.004820	0.009012	0.029644	0.034609	0.004795	0.017714	0.010735	0.008591	0.004292	0.019828	0.017176	0.004803	0.004441	0.012363	0.023060	0.010096	0.003067	0.009606	0.014464	0.002707	0.002011	0.005814	0.001774	0.002000	0.003738	0.001799	0.002719	0.001692	0.004749	0.002991	0.001379	0.002305	0.012360	0.000594	0.010231	0.001250	0.003592	0.011440	0.018652	0.003148	0.003446	0.004444	0.008225	0.001412	0.003814
would	0.001250	0.028144	0.017130	0.062742	0.005685	0.005983	0.049434	0.009685	0.050218	0.128097	0.142916	0.096998	0.011692	0.006512	0.006644	0.068018	0.003204	0.027831	0.017102	0.038746	0.002580	0.001722	0.029803	0.002157	0.000973	0.000545	0.000987	0.001061	0.003182	0.010072	0.002363	0.006716	0.014421	0.010012	0.001222	0.000775	0.006641	0.013882	0.013088	0.000804	0.007927	0.004269	0.004969	0.000603	0.012332	0.005082	0.000259	0.000547	0.002791	0.002142	0.008997	0.002688	0.000497	0.004341	0.000531	0.003499	0.000633	0.000376	0.002027	0.003904	0.000580	0.008004	0.000380	0.001426	0.005334	0.001298	0.001916	0.003745	0.004082	0.001513	0.000638	0.001634
be	0.001076	0.017540	0.020636	0.038669	0.006045	0.008450	0.028781	0.160806	0.007860	0.054891	0.316326	0.027953	0.010009	0.024616	0.023743	0.022495	0.004803	0.019473	0.017470	0.009682	0.002925	0.003764	0.014531	0.003190	0.001196	0.002311	0.002246	0.001534	0.004136	0.008041	0.002797	0.006399	0.003810	0.004464	0.001775	0.001347	0.002889	0.008040	0.009276	0.001048	0.011486	0.004034	0.003509	0.001331	0.008881	0.004224	0.000993	0.001045	0.001010	0.018503	0.003002	0.001236	0.000716	0.001729	0.000873	0.004973	0.000442	0.000855	0.001847	0.001039	0.000734	0.004617	0.000574	0.001453	0.004058	0.001394	0.001779	0.001814	0.001231	0.001268	0.000835	0.001472
minimal	0.000533	0.030369	0.020682	0.020070	0.006405	0.013606	0.042675	0.056578	0.034468	0.053868	0.143151	0.037368	0.063648	0.099702	0.039318	0.013855	0.009082	0.031640	0.019090	0.005349	0.004540	0.005020	0.023191	0.007600	0.003069	0.004192	0.003627	0.006057	0.009455	0.008908	0.006508	0.003340	0.010508	0.007544	0.002523	0.001624	0.007592	0.011414	0.007900	0.001669	0.009370	0.009785	0.006185	0.001997	0.008498	0.004608	0.002070	0.001559	0.004518	0.004590	0.003408	0.001906	0.000920	0.002878	0.001046	0.005230	0.001459	0.001203	0.004752	0.005432	0.001023	0.014434	0.002230	0.003730	0.003746	0.003046	0.003253	0.001719	0.001179	0.002485	0.002129	0.001874
or	0.001649	0.011230	0.009822	0.015619	0.024601	0.029041	0.028257	0.026983	0.033657	0.059476	0.057700	0.061950	0.051697	0.038657	0.080290	0.037530	0.014498	0.038081	0.045052	0.016470	0.007918	0.017690	0.014987	0.009141	0.006859	0.013219	0.013052	0.003763	0.013319	0.021013	0.010177	0.015975	0.006188	0.005758	0.004929	0.005546	0.003585	0.008102	0.011029	0.002724	0.010161	0.008980	0.007524	0.006768	0.010967	0.007140	0.005197	0.004848	0.005302	0.002074	0.003816	0.003851	0.001352	0.001545	0.002945	0.005962	0.001212	0.003297	0.001795	0.002581	0.001405	0.004543	0.000858	0.002788	0.005385	0.002601	0.002247	0.001188	0.001060	0.001151	0.000502	0.001719
none	0.002636	0.013631	0.007535	0.025156	0.006105	0.010767	0.045111	0.045080	0.027149	0.058460	0.226333	0.014043	0.058713	0.032511	0.018052	0.055707	0.006047	0.083633	0.052178	0.015860	0.003195	0.004691	0.035444	0.005116	0.001824	0.001379	0.002609	0.002742	0.007393	0.003791	0.002301	0.018482	0.004745	0.006217	0.001253	0.001008	0.002678	0.005431	0.010373	0.000672	0.010141	0.001295	0.001971	0.000923	0.009240	0.005030	0.000495	0.000966	0.001960	0.003102	0.002100	0.002651	0.000493	0.002867	0.000730	0.001369	0.001147	0.000727	0.001440	0.000690	0.000636	0.003903	0.000867	0.003126	0.001689	0.001126	0.004192	0.002338	0.004347	0.000644	0.000954	0.000791
##xi	0.198229	0.016497	0.010573	0.015958	0.010504	0.017876	0.010487	0.006487	0.011056	0.016753	0.034532	0.021927	0.028759	0.074932	0.035495	0.028893	0.034005	0.017859	0.009903	0.021344	0.019984	0.016569	0.035610	0.011687	0.012042	0.003759	0.012318	0.008330	0.016301	0.008590	0.025422	0.013862	0.004328	0.004549	0.003517	0.005537	0.005187	0.007454	0.003179	0.003953	0.004271	0.004513	0.003882	0.006413	0.002464	0.002744	0.001928	0.006966	0.004373	0.002074	0.006932	0.001436	0.004173	0.005628	0.004626	0.004605	0.004406	0.005185	0.001423	0.017956	0.002839	0.004533	0.004118	0.008020	0.004283	0.012958	0.006782	0.002360	0.002427	0.009197	0.000821	0.001415
##sten	0.377084	0.002212	0.005350	0.004716	0.010764	0.020849	0.005200	0.004769	0.006369	0.006197	0.007203	0.007524	0.058640	0.004905	0.013079	0.028067	0.030926	0.033761	0.011686	0.006580	0.022960	0.027027	0.016666	0.024147	0.019189	0.007194	0.015729	0.008194	0.011339	0.012025	0.032272	0.008955	0.002264	0.002937	0.007040	0.007940	0.000834	0.001157	0.002614	0.006251	0.002631	0.000522	0.005359	0.006764	0.001447	0.002144	0.003002	0.007716	0.003057	0.002278	0.002289	0.001461	0.006009	0.004198	0.006015	0.001463	0.005381	0.005766	0.000699	0.000625	0.004461	0.001029	0.003306	0.004114	0.005082	0.014381	0.008307	0.000649	0.002547	0.001711	0.001483	0.001494
##t	0.061289	0.004541	0.004078	0.006284	0.007577	0.014274	0.010580	0.005259	0.013890	0.022431	0.025349	0.060665	0.178122	0.063419	0.018899	0.043966	0.023922	0.057451	0.020625	0.020924	0.017425	0.021477	0.033595	0.015112	0.011905	0.006428	0.009908	0.008584	0.009817	0.015499	0.048763	0.013789	0.005461	0.002580	0.004266	0.004072	0.001089	0.002621	0.002451	0.002415	0.002697	0.000964	0.004817	0.003977	0.002501	0.006350	0.002373	0.004904	0.003384	0.002370	0.003552	0.001500	0.002571	0.002598	0.003543	0.003847	0.002054	0.003223	0.000970	0.001880	0.002059	0.003401	0.002508	0.002764	0.005040	0.015609	0.003036	0.000410	0.000962	0.002213	0.000472	0.000645
because	0.001183	0.012535	0.006858	0.009799	0.005158	0.003707	0.026819	0.024764	0.009737	0.034421	0.136687	0.030747	0.028310	0.018397	0.016252	0.068021	0.009386	0.116901	0.067740	0.060315	0.006391	0.007746	0.050037	0.006827	0.003429	0.005011	0.004336	0.003411	0.008950	0.008525	0.004902	0.015083	0.009299	0.014589	0.002921	0.001728	0.006999	0.007556	0.014489	0.001257	0.018419	0.003795	0.009317	0.001475	0.013043	0.009657	0.001550	0.001552	0.003692	0.010084	0.006810	0.005000	0.001093	0.003186	0.000904	0.011139	0.001421	0.000924	0.003254	0.001693	0.001327	0.003470	0.000742	0.002112	0.002790	0.001385	0.001517	0.003443	0.002281	0.000325	0.000350	0.001032
,	0.000071	0.006764	0.010434	0.003768	0.044672	0.057865	0.004197	0.011404	0.006510	0.008210	0.014461	0.029285	0.007243	0.003124	0.066208	0.029469	0.073005	0.044087	0.059599	0.005692	0.061605	0.145283	0.014517	0.019802	0.023192	0.026370	0.069192	0.003676	0.003633	0.003459	0.004277	0.002442	0.001805	0.003398	0.007361	0.017949	0.000944	0.000600	0.002060	0.004103	0.001739	0.001708	0.002732	0.012919	0.003068	0.001124	0.004128	0.013759	0.002368	0.002240	0.001510	0.005904	0.003623	0.001009	0.010178	0.000936	0.002550	0.012475	0.001596	0.000592	0.003843	0.002129	0.000604	0.000540	0.000766	0.000943	0.000219	0.000449	0.000247	0.000388	0.000987	0.000987
among	0.002342	0.015060	0.013057	0.018422	0.005900	0.007417	0.026218	0.015229	0.009470	0.019234	0.045742	0.038394	0.016899	0.018534	0.022515	0.032495	0.014309	0.036784	0.060960	0.061340	0.015039	0.019909	0.139534	0.016022	0.011364	0.014589	0.011767	0.006110	0.016644	0.015363	0.021751	0.021263	0.019414	0.015056	0.008906	0.005051	0.007541	0.006100	0.005206	0.005069	0.012720	0.003731	0.007814	0.003001	0.005831	0.005387	0.003278	0.003177	0.002886	0.003653	0.004872	0.006244	0.004267	0.004095	0.002758	0.006183	0.003876	0.002464	0.004677	0.008478	0.001403	0.003590	0.001390	0.004287	0.004931	0.006633	0.004591	0.002292	0.002679	0.005192	0.000573	0.001029
other	0.000387	0.022726	0.012278	0.022727	0.005065	0.005651	0.025383	0.031814	0.009775	0.025186	0.121191	0.037915	0.017697	0.017376	0.028255	0.060649	0.009073	0.074209	0.059145	0.055981	0.009695	0.014521	0.055174	0.009576	0.005089	0.010853	0.007626	0.004379	0.019537	0.012825	0.008211	0.022431	0.013220	0.013940	0.003398	0.002601	0.005080	0.007671	0.007760	0.001216	0.015216	0.008137	0.005290	0.001906	0.012853	0.006955	0.002104	0.001841	0.004250	0.005548	0.007938	0.004547	0.001039	0.001711	0.001546	0.005263	0.001392	0.001467	0.003383	0.003361	0.001350	0.004985	0.000755	0.003948	0.003597	0.002253	0.002467	0.002369	0.002467	0.001563	0.000396	0.000817
reasons	0.005160	0.014584	0.004065	0.013324	0.002518	0.003853	0.021357	0.012702	0.006730	0.140796	0.051801	0.018602	0.035457	0.037913	0.006110	0.094078	0.007040	0.038356	0.022777	0.025879	0.008236	0.008980	0.116214	0.014451	0.006174	0.003968	0.006766	0.003843	0.007325	0.010610	0.030061	0.010777	0.012912	0.010089	0.003392	0.002288	0.014252	0.028906	0.012392	0.001450	0.017600	0.003376	0.009753	0.001698	0.008284	0.004928	0.000746	0.001264	0.003972	0.007048	0.004604	0.001634	0.000849	0.004697	0.001186	0.007351	0.001751	0.001160	0.002204	0.002114	0.000842	0.006573	0.000639	0.001434	0.002696	0.008363	0.004381	0.004479	0.004960	0.001672	0.000758	0.000794
,	0.000074	0.003874	0.007031	0.002597	0.031135	0.040470	0.002435	0.007989	0.003704	0.006199	0.007836	0.015164	0.004366	0.002226	0.036641	0.021405	0.049335	0.027580	0.042257	0.004823	0.063081	0.178631	0.016943	0.025816	0.040015	0.042507	0.116686	0.005322	0.005428	0.004072	0.005434	0.002743	0.002430	0.004368	0.010448	0.027303	0.001300	0.001003	0.002985	0.005724	0.002321	0.001800	0.004021	0.016843	0.003270	0.001025	0.004453	0.014207	0.002182	0.002203	0.001723	0.005342	0.004260	0.001229	0.013941	0.001298	0.003234	0.018405	0.002258	0.000644	0.005627	0.002315	0.000783	0.000657	0.000803	0.001095	0.000258	0.000703	0.000392	0.000495	0.001401	0.001433
the	0.000575	0.015534	0.006852	0.010467	0.008942	0.003851	0.012968	0.012094	0.007932	0.013011	0.021537	0.024340	0.012219	0.017226	0.036809	0.016103	0.009247	0.055868	0.067199	0.019447	0.013998	0.016251	0.042465	0.010807	0.019171	0.170360	0.013191	0.011889	0.016958	0.059801	0.012794	0.019384	0.007519	0.018053	0.009028	0.004557	0.006478	0.010169	0.007188	0.006006	0.013828	0.005333	0.007922	0.002495	0.011588	0.005137	0.022408	0.001930	0.003803	0.004412	0.004066	0.003864	0.002993	0.001120	0.001805	0.005064	0.003804	0.001799	0.005480	0.002122	0.002485	0.006643	0.001386	0.002205	0.011931	0.002167	0.003466	0.003015	0.001745	0.002325	0.000545	0.002827
phase	0.001526	0.026014	0.004497	0.012859	0.001040	0.001017	0.036980	0.005653	0.008298	0.018106	0.013344	0.014904	0.050687	0.047903	0.020267	0.006446	0.002404	0.010149	0.007022	0.045897	0.003472	0.003764	0.027906	0.006665	0.005493	0.003007	0.003447	0.006163	0.064118	0.092091	0.039612	0.013867	0.048008	0.017723	0.001835	0.001319	0.019732	0.016383	0.004920	0.000885	0.008451	0.048195	0.004374	0.000716	0.011881	0.020180	0.000439	0.000530	0.006802	0.006034	0.004679	0.002033	0.000571	0.003730	0.000524	0.045220	0.001079	0.000530	0.005005	0.027931	0.000617	0.024399	0.001041	0.011857	0.024926	0.011122	0.002948	0.001301	0.003026	0.003544	0.000561	0.000332
