TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.029971	0.096616	0.004466	0.017277	0.020577	0.007066	0.020182	0.021965	0.003183	0.002620	0.017699	0.048668	0.709710
None	0.001779	0.055532	0.024046	0.617857	0.026364	0.000848	0.000028	0.000291	0.000616	0.002220	0.027895	0.002302	0.240221
of	0.000144	0.005052	0.000727	0.956307	0.011638	0.000408	0.000012	0.000204	0.000503	0.000170	0.010968	0.000275	0.013593
it	0.030424	0.005823	0.002705	0.041325	0.176722	0.022129	0.000724	0.097421	0.019301	0.010946	0.004648	0.007774	0.580059
is	0.005481	0.003995	0.000377	0.018073	0.037939	0.027971	0.001266	0.466454	0.047359	0.013203	0.017902	0.007083	0.352898
di	0.002229	0.002243	0.000092	0.002164	0.012841	0.011850	0.041528	0.471295	0.003457	0.001371	0.004451	0.003072	0.443406
##v	0.001738	0.000048	0.000028	0.000022	0.002325	0.001778	0.000352	0.476657	0.002017	0.003806	0.000791	0.002599	0.507838
##vied	0.003318	0.000080	0.000016	0.000224	0.001757	0.006626	0.000076	0.008855	0.041940	0.013834	0.004000	0.014564	0.904711
up	0.019482	0.002115	0.000092	0.005351	0.014356	0.004356	0.000269	0.021742	0.025640	0.098294	0.076490	0.012884	0.718927
among	0.001164	0.002290	0.000518	0.029576	0.000706	0.000314	0.000720	0.000481	0.001898	0.005167	0.728294	0.007576	0.221297
anything	0.001464	0.000301	0.000287	0.000603	0.002471	0.000397	0.000076	0.000527	0.000890	0.003177	0.066273	0.112020	0.811516
.	0.006857	0.009648	0.003131	0.009819	0.005316	0.001544	0.000603	0.009035	0.001724	0.002604	0.030261	0.065352	0.854104
[SEP]	0.019125	0.003883	0.002386	0.005175	0.008127	0.003187	0.003136	0.002395	0.005226	0.004400	0.006203	0.014732	0.922026
