TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.009275	0.003377	0.002351	0.012959	0.036066	0.002710	0.010856	0.007834	0.002287	0.009352	0.016391	0.007833	0.878708
None	0.002071	0.056957	0.041860	0.148681	0.029538	0.008723	0.018089	0.042413	0.024782	0.091506	0.078698	0.046073	0.410609
of	0.007703	0.064383	0.025429	0.168604	0.007213	0.009748	0.028070	0.052164	0.016255	0.119041	0.108576	0.038788	0.354024
it	0.004072	0.033282	0.016639	0.091259	0.020599	0.007626	0.017441	0.034615	0.008797	0.056832	0.044481	0.076319	0.588038
is	0.010761	0.026797	0.011458	0.153188	0.246065	0.016787	0.037808	0.050866	0.023791	0.044066	0.054357	0.092132	0.231924
di	0.001635	0.038989	0.031464	0.058096	0.031677	0.014576	0.062283	0.161224	0.068135	0.244943	0.019119	0.020155	0.247705
##v	0.001448	0.018093	0.020281	0.018195	0.006699	0.009197	0.004871	0.031383	0.019416	0.096705	0.012966	0.009511	0.751235
##vied	0.002071	0.031349	0.013343	0.030331	0.005941	0.007578	0.015464	0.055434	0.043622	0.089608	0.017503	0.023975	0.663780
up	0.002993	0.042580	0.027776	0.055072	0.016323	0.014938	0.018531	0.086253	0.051054	0.213131	0.028716	0.039803	0.402832
among	0.001522	0.029564	0.011416	0.046088	0.005678	0.010158	0.014468	0.093007	0.051194	0.102605	0.045438	0.014674	0.574189
anything	0.001642	0.019230	0.016740	0.094115	0.029997	0.014543	0.037678	0.023474	0.014750	0.059345	0.038946	0.020298	0.629242
.	0.002701	0.019929	0.012771	0.021926	0.068423	0.021647	0.042711	0.031725	0.008219	0.078232	0.059816	0.031062	0.600838
[SEP]	0.001008	0.000325	0.000104	0.000351	0.000751	0.000349	0.000291	0.000340	0.000111	0.000674	0.000720	0.000982	0.993995
