model;seed;layer;depth;feature
pretrained;;1;1;dep_id
pretrained;;1;2;position_in_sentence
pretrained;;1;2;token_length
pretrained;;1;3;position_in_sentence
pretrained;;1;3;word_sentence_frequency
pretrained;;1;4;position_in_sentence
pretrained;;2;1;token_rank
pretrained;;2;2;num_subtokens
pretrained;;2;3;position_in_sentence
pretrained;;2;3;word_burstiness
pretrained;;2;4;token_relative_frequency
pretrained;;3;1;next_pos_id
pretrained;;3;2;token_rank
pretrained;;3;3;is_punctuation
pretrained;;3;3;num_subtokens
pretrained;;3;3;word_burstiness
pretrained;;3;4;token_relative_frequency
pretrained;;4;1;next_pos_id
pretrained;;4;2;token_rank
pretrained;;4;2;word_burstiness
pretrained;;4;3;position_in_sentence
pretrained;;4;3;word_burstiness
pretrained;;4;4;num_subtokens
pretrained;;4;4;relative_position
pretrained;;5;1;next_pos_id
pretrained;;5;2;num_subtokens
pretrained;;5;3;token_rank
pretrained;;5;3;token_relative_frequency
pretrained;;5;4;position_in_sentence
pretrained;;5;4;relative_position
pretrained;;6;1;relative_position
pretrained;;6;2;depth_in_tree
pretrained;;6;3;token_relative_frequency
pretrained;;6;4;dep_id
pretrained;;7;1;relative_position
pretrained;;7;2;num_dependents
pretrained;;7;3;num_subtokens
pretrained;;7;4;token_relative_frequency
pretrained;;8;1;relative_position
pretrained;;8;2;depth_in_tree
pretrained;;8;3;position_in_sentence
pretrained;;8;4;relative_position
pretrained;;9;1;next_pos_id
pretrained;;9;2;relative_position
pretrained;;9;3;num_subtokens
pretrained;;9;4;token_rank
pretrained;;10;1;relative_position
pretrained;;10;2;token_rank
pretrained;;10;2;word_sentence_frequency
pretrained;;10;3;position_in_sentence
pretrained;;10;3;prev_pos_id
pretrained;;10;3;relative_position
pretrained;;10;4;depth_in_tree
pretrained;;10;4;position_in_sentence
pretrained;;10;4;word_burstiness
pretrained;;10;4;word_sentence_frequency
pretrained;;11;1;next_pos_id
pretrained;;11;2;position_in_sentence
pretrained;;11;2;relative_position
pretrained;;11;3;num_subtokens
pretrained;;11;3;relative_position
pretrained;;11;4;position_in_sentence
pretrained;;11;4;word_sentence_frequency
pretrained;;12;1;relative_position
pretrained;;12;2;token_rank
pretrained;;12;2;word_sentence_frequency
pretrained;;12;3;num_subtokens
pretrained;;12;3;position_in_sentence
pretrained;;12;3;relative_position
pretrained;;12;4;relative_position
pretrained;;12;4;word_sentence_frequency
