model;seed;layer;pattern;pattern_length
pretrained;;1;dep_id -> position_in_sentence;2
pretrained;;1;dep_id -> position_in_sentence -> position_in_sentence -> position_in_sentence;4
pretrained;;1;dep_id -> token_length -> word_sentence_frequency -> position_in_sentence;4
pretrained;;2;token_rank -> num_subtokens -> position_in_sentence;3
pretrained;;2;token_rank -> num_subtokens -> position_in_sentence -> token_relative_frequency;4
pretrained;;2;token_rank -> num_subtokens -> word_burstiness -> token_relative_frequency;4
pretrained;;3;next_pos_id -> token_rank -> num_subtokens;3
pretrained;;3;next_pos_id -> token_rank -> num_subtokens -> token_relative_frequency;4
pretrained;;3;next_pos_id -> token_rank -> is_punctuation;3
pretrained;;3;next_pos_id -> token_rank -> word_burstiness;3
pretrained;;4;next_pos_id -> token_rank;2
pretrained;;4;next_pos_id -> token_rank -> position_in_sentence -> num_subtokens;4
pretrained;;4;next_pos_id -> word_burstiness -> word_burstiness -> relative_position;4
pretrained;;5;next_pos_id -> num_subtokens -> token_rank;3
pretrained;;5;next_pos_id -> num_subtokens -> token_rank -> position_in_sentence;4
pretrained;;5;next_pos_id -> num_subtokens -> token_relative_frequency -> relative_position;4
pretrained;;6;relative_position -> depth_in_tree -> token_relative_frequency -> dep_id;4
pretrained;;6;relative_position;1
pretrained;;7;relative_position -> num_dependents -> num_subtokens -> token_relative_frequency;4
pretrained;;7;relative_position;1
pretrained;;8;relative_position -> depth_in_tree -> position_in_sentence -> relative_position;4
pretrained;;8;relative_position;1
pretrained;;9;next_pos_id -> relative_position -> num_subtokens -> token_rank;4
pretrained;;9;next_pos_id -> relative_position;2
pretrained;;10;relative_position -> word_sentence_frequency -> relative_position;3
pretrained;;10;relative_position -> token_rank -> prev_pos_id -> word_burstiness;4
pretrained;;10;relative_position -> token_rank -> prev_pos_id -> word_sentence_frequency;4
pretrained;;10;relative_position -> token_rank -> position_in_sentence -> position_in_sentence;4
pretrained;;10;relative_position -> token_rank -> position_in_sentence -> depth_in_tree;4
pretrained;;11;next_pos_id -> relative_position -> num_subtokens;3
pretrained;;11;next_pos_id -> relative_position -> num_subtokens;3
pretrained;;11;next_pos_id -> relative_position -> num_subtokens -> position_in_sentence;4
pretrained;;11;next_pos_id -> position_in_sentence -> relative_position -> word_sentence_frequency;4
pretrained;;12;relative_position -> word_sentence_frequency -> relative_position -> relative_position;4
pretrained;;12;relative_position -> word_sentence_frequency -> relative_position;3
pretrained;;12;relative_position -> token_rank -> num_subtokens;3
pretrained;;12;relative_position -> token_rank -> position_in_sentence -> word_sentence_frequency;4
