Depth;Feature;Occurrence;Layers
1;next_pos_id;5;[3, 4, 5, 9, 11]
1;relative_position;5;[6, 7, 8, 10, 12]
1;dep_id;1;[1]
1;token_rank;1;[2]
2;token_rank;4;[3, 4, 10, 12]
2;depth_in_tree;2;[6, 8]
2;num_subtokens;2;[2, 5]
2;position_in_sentence;2;[1, 11]
2;relative_position;2;[9, 11]
2;word_sentence_frequency;2;[10, 12]
2;num_dependents;1;[7]
2;token_length;1;[1]
2;word_burstiness;1;[4]
3;position_in_sentence;6;[1, 2, 4, 8, 10, 12]
3;num_subtokens;5;[3, 7, 9, 11, 12]
3;relative_position;3;[10, 11, 12]
3;word_burstiness;3;[2, 3, 4]
3;token_relative_frequency;2;[5, 6]
3;is_punctuation;1;[3]
3;prev_pos_id;1;[10]
3;token_rank;1;[5]
3;word_sentence_frequency;1;[1]
4;position_in_sentence;4;[1, 5, 10, 11]
4;relative_position;4;[4, 5, 8, 12]
4;token_relative_frequency;3;[2, 3, 7]
4;word_sentence_frequency;3;[10, 11, 12]
4;dep_id;1;[6]
4;depth_in_tree;1;[10]
4;num_subtokens;1;[4]
4;token_rank;1;[9]
4;word_burstiness;1;[10]
