Depth;Feature;Seeds_Count
1;position_in_sentence;30
1;token_relative_frequency;30
1;relative_position;26
1;word_sentence_frequency;16
1;dep_id;8
1;next_pos_id;5
1;prev_pos_id;4
1;token_rank;2
1;word_burstiness;2
1;pos_id;1
2;position_in_sentence;30
2;relative_position;29
2;token_relative_frequency;23
2;word_sentence_frequency;22
2;token_rank;18
2;word_burstiness;16
2;pos_id;8
2;next_pos_id;6
2;dep_id;5
2;is_punctuation;4
2;token_length;3
2;depth_in_tree;2
2;prev_pos_id;2
2;is_special_token;1
2;is_stopword;1
3;position_in_sentence;30
3;relative_position;30
3;token_rank;26
3;word_sentence_frequency;24
3;word_burstiness;23
3;token_relative_frequency;19
3;dep_id;8
3;is_punctuation;7
3;token_length;7
3;pos_id;5
3;is_pronoun;2
3;is_stopword;2
3;next_pos_id;2
3;is_special_token;1
3;is_subword;1
3;num_dependents;1
3;num_subtokens;1
4;position_in_sentence;30
4;relative_position;28
4;word_sentence_frequency;26
4;word_burstiness;21
4;token_rank;20
4;token_relative_frequency;14
4;pos_id;12
4;token_length;7
4;dep_id;6
4;is_pronoun;3
4;is_punctuation;3
4;is_stopword;3
4;next_pos_id;3
4;depth_in_tree;2
4;num_dependents;1
4;prev_pos_id;1
