pattern;count;layers
relative_position;3;[6, 7, 8]
next_pos_id -> relative_position -> num_subtokens;2;[11]
relative_position -> word_sentence_frequency -> relative_position;2;[10, 12]
dep_id -> position_in_sentence;1;[1]
dep_id -> position_in_sentence -> position_in_sentence -> position_in_sentence;1;[1]
token_rank -> num_subtokens -> word_burstiness -> token_relative_frequency;1;[2]
dep_id -> token_length -> word_sentence_frequency -> position_in_sentence;1;[1]
token_rank -> num_subtokens -> position_in_sentence;1;[2]
token_rank -> num_subtokens -> position_in_sentence -> token_relative_frequency;1;[2]
next_pos_id -> token_rank -> word_burstiness;1;[3]
next_pos_id -> token_rank;1;[4]
next_pos_id -> token_rank -> position_in_sentence -> num_subtokens;1;[4]
next_pos_id -> word_burstiness -> word_burstiness -> relative_position;1;[4]
next_pos_id -> num_subtokens -> token_rank;1;[5]
next_pos_id -> token_rank -> num_subtokens;1;[3]
next_pos_id -> token_rank -> num_subtokens -> token_relative_frequency;1;[3]
next_pos_id -> token_rank -> is_punctuation;1;[3]
relative_position -> depth_in_tree -> token_relative_frequency -> dep_id;1;[6]
next_pos_id -> num_subtokens -> token_relative_frequency -> relative_position;1;[5]
next_pos_id -> num_subtokens -> token_rank -> position_in_sentence;1;[5]
relative_position -> depth_in_tree -> position_in_sentence -> relative_position;1;[8]
next_pos_id -> relative_position -> num_subtokens -> token_rank;1;[9]
next_pos_id -> relative_position;1;[9]
relative_position -> token_rank -> prev_pos_id -> word_burstiness;1;[10]
relative_position -> num_dependents -> num_subtokens -> token_relative_frequency;1;[7]
relative_position -> token_rank -> prev_pos_id -> word_sentence_frequency;1;[10]
relative_position -> token_rank -> position_in_sentence -> position_in_sentence;1;[10]
relative_position -> token_rank -> position_in_sentence -> depth_in_tree;1;[10]
next_pos_id -> relative_position -> num_subtokens -> position_in_sentence;1;[11]
next_pos_id -> position_in_sentence -> relative_position -> word_sentence_frequency;1;[11]
relative_position -> word_sentence_frequency -> relative_position -> relative_position;1;[12]
relative_position -> token_rank -> num_subtokens;1;[12]
relative_position -> token_rank -> position_in_sentence -> word_sentence_frequency;1;[12]
