pattern;occurrences;seed_count
token_relative_frequency -> position_in_sentence -> position_in_sentence -> position_in_sentence;46;21
position_in_sentence -> position_in_sentence -> position_in_sentence -> position_in_sentence;31;19
relative_position;30;18
token_relative_frequency -> position_in_sentence -> relative_position -> position_in_sentence;26;18
position_in_sentence -> position_in_sentence -> position_in_sentence;21;16
relative_position -> position_in_sentence -> position_in_sentence -> position_in_sentence;26;15
position_in_sentence -> position_in_sentence -> relative_position;17;15
position_in_sentence -> position_in_sentence -> position_in_sentence -> relative_position;19;14
relative_position -> position_in_sentence -> position_in_sentence;16;14
position_in_sentence -> relative_position -> position_in_sentence -> position_in_sentence;25;13
token_relative_frequency -> relative_position -> position_in_sentence -> position_in_sentence;14;13
token_relative_frequency -> position_in_sentence -> position_in_sentence;12;12
token_relative_frequency -> position_in_sentence -> relative_position;12;11
token_relative_frequency -> position_in_sentence -> position_in_sentence -> relative_position;11;11
position_in_sentence -> relative_position -> position_in_sentence;10;9
word_sentence_frequency -> position_in_sentence -> position_in_sentence -> position_in_sentence;12;8
relative_position -> position_in_sentence;9;8
position_in_sentence -> position_in_sentence -> position_in_sentence -> word_sentence_frequency;9;8
position_in_sentence -> position_in_sentence;9;8
token_relative_frequency -> word_sentence_frequency -> position_in_sentence;8;8
token_relative_frequency -> token_rank -> position_in_sentence -> position_in_sentence;9;7
position_in_sentence -> token_relative_frequency -> position_in_sentence -> position_in_sentence;9;7
word_sentence_frequency -> position_in_sentence -> position_in_sentence;8;7
position_in_sentence -> position_in_sentence -> token_relative_frequency -> position_in_sentence;8;7
dep_id -> position_in_sentence -> position_in_sentence -> position_in_sentence;15;6
token_relative_frequency -> relative_position -> position_in_sentence;7;6
relative_position -> token_relative_frequency -> position_in_sentence -> position_in_sentence;6;6
position_in_sentence -> relative_position -> position_in_sentence -> relative_position;6;6
position_in_sentence -> word_sentence_frequency -> position_in_sentence -> position_in_sentence;6;6
position_in_sentence -> position_in_sentence -> relative_position -> position_in_sentence;6;6
position_in_sentence -> position_in_sentence -> relative_position -> token_rank;6;6
token_relative_frequency -> word_burstiness -> position_in_sentence -> position_in_sentence;7;5
token_relative_frequency -> word_sentence_frequency -> position_in_sentence -> position_in_sentence;7;5
word_sentence_frequency -> position_in_sentence -> position_in_sentence -> relative_position;6;5
token_relative_frequency -> word_sentence_frequency -> position_in_sentence -> relative_position;6;5
word_sentence_frequency -> position_in_sentence -> relative_position;5;5
token_relative_frequency -> position_in_sentence -> word_sentence_frequency -> position_in_sentence;5;5
position_in_sentence -> relative_position -> word_burstiness;5;5
